date,forward_pe
2008-01-01,27.85
2008-02-01,27.37
2008-03-01,26.6
2008-04-01,31.87
2008-05-01,32.63
2008-06-01,31.19
2008-07-01,31.6
2008-08-01,32.21
2008-09-01,30.59
2008-10-01,24.46
2008-11-01,22.29
2008-12-01,22.16
2009-01-01,15.22
2009-02-01,14.16
2009-03-01,13.32
2009-04-01,12.83
2009-05-01,13.65
2009-06-01,14
2009-07-01,12.78
2009-08-01,13.79
2009-09-01,14.27
2009-10-01,13.51
2009-11-01,13.77
2009-12-01,14.06
2010-01-01,13.41
2010-02-01,13
2010-03-01,13.75
2010-04-01,13.77
2010-05-01,12.94
2010-06-01,12.46
2010-07-01,11.88
2010-08-01,11.96
2010-09-01,12.34
2010-10-01,12.38
2010-11-01,12.67
2010-12-01,13.12
2011-01-01,13.3
2011-02-01,13.7
2011-03-01,13.53
2011-04-01,13.57
2011-05-01,13.64
2011-06-01,13.12
2011-07-01,13.43
2011-08-01,12.01
2011-09-01,11.89
2011-10-01,12.39
2011-11-01,12.59
2011-12-01,12.77
2012-01-01,13.43
2012-02-01,13.97
2012-03-01,14.35
2012-04-01,14.1
2012-05-01,13.64
2012-06-01,13.46
2012-07-01,13.7
2012-08-01,14.14
2012-09-01,14.54
2012-10-01,14.07
2012-11-01,13.64
2012-12-01,13.92
2013-01-01,13.8
2013-02-01,14.09
2013-03-01,14.45
2013-04-01,14.43
2013-05-01,15.07
2013-06-01,14.87
2013-07-01,14.92
2013-08-01,14.93
2013-09-01,15.09
2013-10-01,15.02
2013-11-01,15.58
2013-12-01,15.79
2014-01-01,16.13
2014-02-01,16.08
2014-03-01,16.49
2014-04-01,16.72
2014-05-01,16.95
2014-06-01,17.46
2014-07-01,18.22
2014-08-01,18.11
2014-09-01,18.4
2014-10-01,18.6
2014-11-01,19.63
2014-12-01,19.73
2015-01-01,20.19
2015-02-01,20.73
2015-03-01,20.71
2015-04-01,21.24
2015-05-01,21.42
2015-06-01,21.29
2015-07-01,21.33
2015-08-01,20.78
2015-09-01,19.81
2015-10-01,19.96
2015-11-01,20.51
2015-12-01,20.25
2016-01-01,18.06
2016-02-01,17.92
2016-03-01,19.03
2016-04-01,18.68
2016-05-01,18.59
2016-06-01,18.76
2016-07-01,18.54
2016-08-01,18.78
2016-09-01,18.61
2016-10-01,18.08
2016-11-01,18.26
2016-12-01,18.95
2017-01-01,18.27
2017-02-01,18.71
2017-03-01,19.01
2017-04-01,17.84
2017-05-01,18.11
2017-06-01,18.41
2017-07-01,17.48
2017-08-01,17.5
2017-09-01,17.76
2017-10-01,17
2017-11-01,17.24
2017-12-01,17.71
2018-01-01,18.4
2018-02-01,17.84
2018-03-01,17.83
2018-04-01,17.34
2018-05-01,17.65
2018-06-01,18
2018-07-01,18.08
2018-08-01,18.49
2018-09-01,18.78
2018-10-01,18.21
2018-11-01,17.8
2018-12-01,16.78
2019-01-01,16.59
2019-02-01,17.53
2019-03-01,17.85
2019-04-01,20.95
2019-05-01,20.59
2019-06-01,20.85
2019-07-01,23.92
2019-08-01,23.13
2019-09-01,23.8
2019-10-01,24.14
2019-11-01,25.17
2019-12-01,25.75
2020-01-01,26.79
2020-02-01,26.78
2020-03-01,21.68
2020-04-01,18.38
2020-05-01,19.43
2020-06-01,20.66
2020-07-01,18.27
2020-08-01,19.32
2020-09-01,19.17
2020-10-01,18.03
2020-11-01,18.71
2020-12-01,19.48
2021-01-01,18.22
2021-02-01,18.65
2021-03-01,18.78
2021-04-01,19.7
2021-05-01,19.83
2021-06-01,20.17
2021-07-01,21.29
2021-08-01,21.73
2021-09-01,21.69
2021-10-01,21.94
2021-11-01,22.96
2021-12-01,22.99
2022-01-01,23.22
2022-02-01,22.52
2022-03-01,22.3
2022-04-01,21.94
2022-05-01,20.19
2022-06-01,19.48
2022-07-01,18.8
2022-08-01,19.98
2022-09-01,18.5
2022-10-01,17.74
2022-11-01,18.65
2022-12-01,18.63
2023-01-01,18.55
2023-02-01,19.11
2023-03-01,18.59
2023-04-01,19.11
2023-05-01,19.23
2023-06-01,20.15
2023-07-01,20.57
2023-08-01,20.34
2023-09-01,20.12
2023-10-01,18.89
2023-11-01,19.73
2023-12-01,20.73
2024-01-01,20.59
2024-02-01,21.48
2024-03-01,22.16
2024-04-01,21.64
2024-05-01,22.16
2024-06-01,22.92
2024-07-01,22.89
2024-08-01,22.65
2024-09-01,23.24
2024-10-01,22.74
2024-11-01,23.28
2024-12-01,23.59
2025-01-01,22.53
2025-02-01,22.75
2025-03-01,21.42
2025-04-01,19.35
2025-05-01,20.94
2025-06-01,21.72
2025-07-01,21.75
2025-08-01,22.13
2025-09-01,22.74
2025-10-01,22.54
2025-11-01,22.56
2025-12-01,22.94
2026-01-01,22.31
2026-02-01,22.18
2026-03-01,21.45
2026-04-01,20.44
2026-05-01,20.78
