date,forward_pe
2008-01-01,25.5347
2008-01-02,25.013
2008-01-03,24.9591
2008-01-04,23.8325
2008-01-07,23.6507
2008-01-08,22.9907
2008-01-09,23.5
2008-01-10,23.5757
2008-01-11,23.1024
2008-01-14,23.7078
2008-01-15,23.1507
2008-01-16,22.6507
2008-01-17,22.2903
2008-01-18,22.3803
2008-01-21,22.3803
2008-01-22,21.6929
2008-01-23,21.67
2008-01-24,22.3207
2008-01-25,21.9336
2008-01-28,22.0261
2008-01-29,22.0304
2008-01-30,22.044
2008-01-31,22.3412
2008-02-01,22.5298
2008-02-04,22.1501
2008-02-05,21.4826
2008-02-06,21.1911
2008-02-07,21.1427
2008-02-08,21.4125
2008-02-11,21.652
2008-02-12,21.6117
2008-02-13,22.147
2008-02-14,21.6967
2008-02-15,21.5819
2008-02-18,21.5819
2008-02-19,21.3573
2008-02-20,21.7277
2008-02-21,21.5136
2008-02-22,21.5732
2008-02-25,21.7066
2008-02-26,21.9274
2008-02-27,22.1048
2008-02-28,21.9324
2008-02-29,21.4144
2008-03-03,21.2767
2008-03-04,21.3766
2008-03-05,21.5496
2008-03-06,21.1476
2008-03-07,21.1557
2008-03-10,20.956
2008-03-11,21.7134
2008-03-12,21.5813
2008-03-13,21.6272
2008-03-14,21.1669
2008-03-17,21.0732
2008-03-18,21.9541
2008-03-19,21.3362
2008-03-20,21.7004
2008-03-21,21.7004
2008-03-24,22.2835
2008-03-25,22.322
2008-03-26,22.0788
2008-03-27,21.5583
2008-03-28,21.4653
2008-03-31,21.6104
2008-04-01,24.7339
2008-04-02,24.6269
2008-04-03,24.6584
2008-04-04,24.7236
2008-04-07,24.644
2008-04-08,24.3937
2008-04-09,24.3313
2008-04-10,24.7023
2008-04-11,23.9993
2008-04-14,23.8882
2008-04-15,23.9088
2008-04-16,24.6461
2008-04-17,24.6866
2008-04-18,25.5158
2008-04-21,25.7112
2008-04-22,25.4005
2008-04-23,25.7545
2008-04-24,26.0261
2008-04-25,25.7202
2008-04-28,25.5007
2008-04-29,25.7661
2008-04-30,25.5432
2008-05-01,26.3711
2008-05-02,26.345
2008-05-05,26.1763
2008-05-06,26.4266
2008-05-07,26.0425
2008-05-08,26.2126
2008-05-09,26.0967
2008-05-12,26.4362
2008-05-13,26.4492
2008-05-14,26.5364
2008-05-15,27.0933
2008-05-16,27.0919
2008-05-19,26.9444
2008-05-20,26.559
2008-05-21,26.0508
2008-05-22,26.1728
2008-05-23,26.0309
2008-05-26,26.0309
2008-05-27,26.5137
2008-05-28,26.6077
2008-05-29,26.7826
2008-05-30,26.9362
2008-06-02,26.5542
2008-06-03,26.4348
2008-06-04,26.6886
2008-06-05,27.1331
2008-06-06,26.3656
2008-06-09,26.3162
2008-06-10,26.2469
2008-06-11,25.6241
2008-06-12,25.8038
2008-06-13,26.3251
2008-06-16,26.4396
2008-06-17,26.2318
2008-06-18,25.8944
2008-06-19,26.2071
2008-06-20,25.561
2008-06-23,25.4005
2008-06-24,25.3169
2008-06-25,25.703
2008-06-26,24.7908
2008-06-27,24.6866
2008-06-30,24.441
2008-07-01,26.2207
2008-07-02,25.7581
2008-07-03,25.7786
2008-07-04,25.7786
2008-07-07,25.9787
2008-07-08,26.2353
2008-07-09,25.3893
2008-07-10,25.7119
2008-07-11,25.4736
2008-07-14,25.2214
2008-07-15,25.2764
2008-07-16,25.857
2008-07-17,26.1613
2008-07-18,25.7808
2008-07-21,25.607
2008-07-22,25.5748
2008-07-23,25.9333
2008-07-24,25.434
2008-07-25,25.8328
2008-07-28,25.2859
2008-07-29,25.8233
2008-07-30,25.9575
2008-07-31,25.7947
2008-08-01,25.6312
2008-08-04,25.533
2008-08-05,26.2434
2008-08-06,26.5872
2008-08-07,26.5733
2008-08-08,27.1613
2008-08-11,27.2779
2008-08-12,27.2676
2008-08-13,27.2383
2008-08-14,27.4296
2008-08-15,27.4413
2008-08-18,27.0755
2008-08-19,26.7053
2008-08-20,26.7925
2008-08-21,26.7295
2008-08-22,27.1312
2008-08-25,26.6496
2008-08-26,26.5455
2008-08-27,26.7566
2008-08-28,26.9802
2008-08-29,26.3152
2008-09-01,26.3152
2008-09-02,25.9509
2008-09-03,25.5037
2008-09-04,24.6738
2008-09-05,24.6136
2008-09-08,24.7434
2008-09-09,24.2031
2008-09-10,24.382
2008-09-11,24.7038
2008-09-12,24.7214
2008-09-15,23.8262
2008-09-16,23.9575
2008-09-17,22.783
2008-09-18,23.6906
2008-09-19,24.3856
2008-09-22,23.5066
2008-09-23,23.3101
2008-09-24,23.4802
2008-09-25,23.945
2008-09-26,23.9971
2008-09-29,21.7852
2008-09-30,22.9611
2008-10-01,22.2498
2008-10-02,21.2745
2008-10-03,21.1053
2008-10-06,20.2578
2008-10-07,19.0305
2008-10-08,18.8758
2008-10-09,18.2288
2008-10-10,18.0842
2008-10-13,20.2803
2008-10-14,19.4887
2008-10-15,17.9927
2008-10-16,18.8584
2008-10-17,18.8112
2008-10-20,19.4292
2008-10-21,18.3515
2008-10-22,17.5207
2008-10-23,17.5396
2008-10-24,17.0806
2008-10-27,16.6572
2008-10-28,18.5113
2008-10-29,18.2651
2008-10-30,18.6768
2008-10-31,18.6943
2008-11-03,18.5781
2008-11-04,19.2469
2008-11-05,18.1881
2008-11-06,17.199
2008-11-07,17.6405
2008-11-10,17.2985
2008-11-11,16.9434
2008-11-12,16.0806
2008-11-13,17.0574
2008-11-14,16.228
2008-11-17,15.756
2008-11-18,16.0581
2008-11-19,15.1227
2008-11-20,14.4161
2008-11-21,15.2491
2008-11-24,16.1721
2008-11-25,15.9252
2008-11-26,16.5933
2008-11-27,16.5933
2008-11-28,16.5563
2008-12-01,15.3123
2008-12-02,15.8344
2008-12-03,16.2622
2008-12-04,15.5868
2008-12-05,16.1968
2008-12-08,17.0363
2008-12-09,16.955
2008-12-10,17.0748
2008-12-11,16.5149
2008-12-12,16.9158
2008-12-15,16.626
2008-12-16,17.4277
2008-12-17,17.1264
2008-12-18,16.7037
2008-12-19,16.8519
2008-12-22,16.4909
2008-12-23,16.3399
2008-12-24,16.3747
2008-12-25,16.3747
2008-12-26,16.406
2008-12-29,16.3174
2008-12-30,16.6928
2008-12-31,16.8344
2009-01-01,13.2614
2009-01-02,13.8295
2009-01-05,13.841
2009-01-06,14.2603
2009-01-07,13.7357
2009-01-08,13.8547
2009-01-09,13.5086
2009-01-12,13.3175
2009-01-13,13.2895
2009-01-14,12.8215
2009-01-15,12.9445
2009-01-16,13.0784
2009-01-19,13.0784
2009-01-20,12.3787
2009-01-21,13.0521
2009-01-22,12.7483
2009-01-23,12.9554
2009-01-26,13.0881
2009-01-27,13.2403
2009-01-28,13.6791
2009-01-29,13.2357
2009-01-30,12.8535
2009-02-02,13.0441
2009-02-03,13.2815
2009-02-04,13.3398
2009-02-05,13.6276
2009-02-06,14.0938
2009-02-09,14.1362
2009-02-10,13.5183
2009-02-11,13.591
2009-02-12,13.6705
2009-02-13,13.643
2009-02-16,13.643
2009-02-17,13.024
2009-02-18,13.0784
2009-02-19,12.6482
2009-02-20,12.6682
2009-02-23,12.1058
2009-02-24,12.5229
2009-02-25,12.504
2009-02-26,12.3415
2009-02-27,12.3003
2009-03-02,11.9045
2009-03-03,11.9354
2009-03-04,12.2551
2009-03-05,11.8221
2009-03-06,11.7111
2009-03-09,11.4199
2009-03-10,12.2672
2009-03-11,12.5263
2009-03-12,12.869
2009-03-13,12.8547
2009-03-16,12.6339
2009-03-17,13.1253
2009-03-18,13.3078
2009-03-19,13.365
2009-03-20,13.1459
2009-03-23,13.9846
2009-03-24,13.7454
2009-03-25,13.7563
2009-03-26,14.3066
2009-03-27,13.9165
2009-03-30,13.5154
2009-03-31,13.7866
2009-04-01,12.2495
2009-04-02,12.6377
2009-04-03,12.8062
2009-04-06,12.671
2009-04-07,12.3295
2009-04-08,12.5432
2009-04-09,12.9488
2009-04-10,12.9488
2009-04-13,12.8792
2009-04-14,12.7649
2009-04-15,12.6819
2009-04-16,13.0865
2009-04-17,13.0552
2009-04-20,12.6436
2009-04-21,12.8986
2009-04-22,12.9254
2009-04-23,12.9821
2009-04-24,13.3101
2009-04-27,13.1923
2009-04-28,13.1168
2009-04-29,13.3752
2009-04-30,13.42
2009-05-01,13.4975
2009-05-04,13.7589
2009-05-05,13.6988
2009-05-06,13.7018
2009-05-07,13.2679
2009-05-08,13.2629
2009-05-11,13.2679
2009-05-12,13.1864
2009-05-13,12.8598
2009-05-14,13.0413
2009-05-15,13.0293
2009-05-18,13.3782
2009-05-19,13.4573
2009-05-20,13.3593
2009-05-21,13.1392
2009-05-22,13.079
2009-05-25,13.079
2009-05-26,13.505
2009-05-27,13.4135
2009-05-28,13.589
2009-05-29,13.742
2009-06-01,14.1968
2009-06-02,14.1287
2009-06-03,14.0646
2009-06-04,14.2734
2009-06-05,14.3335
2009-06-08,14.2917
2009-06-09,14.423
2009-06-10,14.4215
2009-06-11,14.4722
2009-06-12,14.4453
2009-06-15,14.2137
2009-06-16,14.0681
2009-06-17,14.1581
2009-06-18,14.0934
2009-06-19,14.2619
2009-06-22,13.8658
2009-06-23,13.8454
2009-06-24,14.0348
2009-06-25,14.3017
2009-06-26,14.2898
2009-06-29,14.3862
2009-06-30,14.2957
2009-07-01,12.7966
2009-07-02,12.4945
2009-07-03,12.4945
2009-07-06,12.4494
2009-07-07,12.1371
2009-07-08,12.1557
2009-07-09,12.226
2009-07-10,12.2724
2009-07-13,12.5325
2009-07-14,12.5635
2009-07-15,13.0946
2009-07-16,13.3118
2009-07-17,13.4463
2009-07-20,13.5767
2009-07-21,13.6471
2009-07-22,13.713
2009-07-23,13.9761
2009-07-24,13.8841
2009-07-27,13.8492
2009-07-28,13.8921
2009-07-29,13.847
2009-07-30,13.9129
2009-07-31,13.8841
2009-08-03,14.0849
2009-08-04,14.0725
2009-08-05,13.9496
2009-08-06,13.8505
2009-08-07,13.9819
2009-08-10,13.9027
2009-08-11,13.7621
2009-08-12,13.9912
2009-08-13,14.1159
2009-08-14,13.9863
2009-08-17,13.6161
2009-08-18,13.8147
2009-08-19,13.8713
2009-08-20,14.0168
2009-08-21,14.2309
2009-08-24,14.2198
2009-08-25,14.2349
2009-08-26,14.2428
2009-08-27,14.2941
2009-08-28,14.3392
2009-08-31,14.2105
2009-09-01,13.9368
2009-09-02,13.931
2009-09-03,14.0018
2009-09-04,14.2375
2009-09-07,14.2375
2009-09-08,14.3428
2009-09-09,14.4551
2009-09-10,14.6488
2009-09-11,14.6276
2009-09-14,14.6369
2009-09-15,14.7222
2009-09-16,14.8664
2009-09-17,14.8346
2009-09-18,14.8549
2009-09-21,14.8607
2009-09-22,14.9151
2009-09-23,14.8647
2009-09-24,14.7696
2009-09-25,14.6665
2009-09-28,14.9208
2009-09-29,14.8173
2009-09-30,14.8452
2009-10-01,13.1513
2009-10-02,13.1069
2009-10-05,13.2154
2009-10-06,13.4667
2009-10-07,13.5296
2009-10-08,13.5829
2009-10-09,13.735
2009-10-12,13.7729
2009-10-13,13.7741
2009-10-14,13.975
2009-10-15,13.9722
2009-10-16,13.8334
2009-10-19,13.9697
2009-10-20,13.9701
2009-10-21,13.9407
2009-10-22,14.0214
2009-10-23,13.9778
2009-10-26,13.9326
2009-10-27,13.8035
2009-10-28,13.5547
2009-10-29,13.8209
2009-10-30,13.4881
2009-11-02,13.5438
2009-11-03,13.5042
2009-11-04,13.5946
2009-11-05,13.8911
2009-11-06,13.906
2009-11-09,14.2102
2009-11-10,14.2081
2009-11-11,14.2925
2009-11-12,14.2299
2009-11-13,14.3566
2009-11-16,14.5026
2009-11-17,14.5688
2009-11-18,14.4942
2009-11-19,14.2622
2009-11-20,14.1702
2009-11-23,14.3961
2009-11-24,14.3288
2009-11-25,14.3542
2009-11-26,14.3542
2009-11-27,14.123
2009-11-30,14.163
2009-12-01,14.3534
2009-12-02,14.3368
2009-12-03,14.3138
2009-12-04,14.4377
2009-12-07,14.3679
2009-12-08,14.2582
2009-12-09,14.3873
2009-12-10,14.451
2009-12-11,14.405
2009-12-14,14.5301
2009-12-15,14.4526
2009-12-16,14.5046
2009-12-17,14.3324
2009-12-18,14.5563
2009-12-21,14.712
2009-12-22,14.7963
2009-12-23,14.883
2009-12-24,15.0327
2009-12-25,15.0327
2009-12-28,15.0658
2009-12-29,15.0508
2009-12-30,15.1194
2009-12-31,14.954
2010-01-01,14.1223
2010-01-04,14.3413
2010-01-05,14.3364
2010-01-06,14.2107
2010-01-07,14.1562
2010-01-08,14.2678
2010-01-11,14.2069
2010-01-12,14.0442
2010-01-13,14.1771
2010-01-14,14.275
2010-01-15,14.0941
2010-01-18,14.0941
2010-01-19,14.3158
2010-01-20,14.1074
2010-01-21,13.9661
2010-01-22,13.4229
2010-01-25,13.5166
2010-01-26,13.5166
2010-01-27,13.6
2010-01-28,13.2
2010-01-29,12.9288
2010-02-01,13.12
2010-02-02,13.2236
2010-02-03,13.2621
2010-02-04,12.8804
2010-02-05,13.0217
2010-02-08,12.9531
2010-02-09,13.0861
2010-02-10,13.0457
2010-02-11,13.1939
2010-02-12,13.2019
2010-02-15,13.2019
2010-02-16,13.4099
2010-02-17,13.4606
2010-02-18,13.5718
2010-02-19,13.5554
2010-02-22,13.5177
2010-02-23,13.3326
2010-02-24,13.4728
2010-02-25,13.4404
2010-02-26,13.4491
2010-03-01,13.6469
2010-03-02,13.6171
2010-03-03,13.6251
2010-03-04,13.6922
2010-03-05,13.8842
2010-03-08,13.9299
2010-03-09,13.984
2010-03-10,14.091
2010-03-11,14.149
2010-03-12,14.1554
2010-03-15,14.1177
2010-03-16,14.2179
2010-03-17,14.2716
2010-03-18,14.3029
2010-03-19,14.189
2010-03-22,14.2926
2010-03-23,14.4267
2010-03-24,14.3451
2010-03-25,14.3928
2010-03-26,14.3749
2010-03-29,14.3768
2010-03-30,14.4472
2010-03-31,14.3577
2010-04-01,13.526
2010-04-02,13.526
2010-04-05,13.6759
2010-04-06,13.6816
2010-04-07,13.6526
2010-04-08,13.6565
2010-04-09,13.7698
2010-04-12,13.8121
2010-04-13,13.8584
2010-04-14,14.0893
2010-04-15,14.1631
2010-04-16,13.9659
2010-04-19,13.9964
2010-04-20,14.0559
2010-04-21,14.1119
2010-04-22,14.1434
2010-04-23,14.2087
2010-04-26,14.1847
2010-04-27,13.9043
2010-04-28,13.9326
2010-04-29,14.0674
2010-04-30,13.7515
2010-05-03,13.9401
2010-05-04,13.5296
2010-05-05,13.4507
2010-05-06,13.0075
2010-05-07,12.7038
2010-05-10,13.3327
2010-05-11,13.2718
2010-05-12,13.5697
2010-05-13,13.3829
2010-05-14,13.1115
2010-05-17,13.1423
2010-05-18,12.9294
2010-05-19,12.8422
2010-05-20,12.3858
2010-05-21,12.5102
2010-05-24,12.4392
2010-05-25,12.4191
2010-05-26,12.2879
2010-05-27,12.7225
2010-05-28,12.6138
2010-05-31,12.6138
2010-06-01,12.4962
2010-06-02,12.7687
2010-06-03,12.9139
2010-06-04,12.5056
2010-06-07,12.2714
2010-06-08,12.2772
2010-06-09,12.1692
2010-06-10,12.479
2010-06-11,12.6171
2010-06-14,12.583
2010-06-15,12.9441
2010-06-16,12.976
2010-06-17,13.0369
2010-06-18,13.0459
2010-06-21,12.9405
2010-06-22,12.8222
2010-06-23,12.7648
2010-06-24,12.5332
2010-06-25,12.464
2010-06-28,12.497
2010-06-29,12.0169
2010-06-30,11.8297
