date,forward_pe
2008-01-01,20.4945
2008-01-02,20.2119
2008-01-03,20.3082
2008-01-04,20
2008-01-07,20.2801
2008-01-08,19.3009
2008-01-09,19.3143
2008-01-10,19.6468
2008-01-11,19.0938
2008-01-14,19.2741
2008-01-15,18.8794
2008-01-16,18.9001
2008-01-17,18.5128
2008-01-18,17.5457
2008-01-21,17.5457
2008-01-22,17.335
2008-01-23,17.5432
2008-01-24,17.4239
2008-01-25,17.24
2008-01-28,17.6943
2008-01-29,18.3362
2008-01-30,18.0463
2008-01-31,18.4689
2008-02-01,18.419
2008-02-04,18.4068
2008-02-05,17.6102
2008-02-06,17.4775
2008-02-07,17.6285
2008-02-08,17.4068
2008-02-11,17.6382
2008-02-12,17.9671
2008-02-13,18.4982
2008-02-14,18.1157
2008-02-15,18.0938
2008-02-18,18.0938
2008-02-19,17.1742
2008-02-20,16.6833
2008-02-21,16.6675
2008-02-22,16.9769
2008-02-25,17.218
2008-02-26,17.3216
2008-02-27,17.1072
2008-02-28,17.3094
2008-02-29,16.6967
2008-03-03,16.7357
2008-03-04,16.5798
2008-03-05,16.7966
2008-03-06,16.5189
2008-03-07,16.5091
2008-03-10,16.2326
2008-03-11,16.7052
2008-03-12,16.3898
2008-03-13,16.4348
2008-03-14,16.1827
2008-03-17,16.4495
2008-03-18,16.9756
2008-03-19,16.6102
2008-03-20,17.0719
2008-03-21,17.0719
2008-03-24,17.5834
2008-03-25,17.5225
2008-03-26,17.3557
2008-03-27,17.2862
2008-03-28,17.2168
2008-03-31,17.514
2008-04-01,18.4174
2008-04-02,18.2161
2008-04-03,18.3441
2008-04-04,18.0646
2008-04-07,18.2534
2008-04-08,18.0845
2008-04-09,17.7764
2008-04-10,17.754
2008-04-11,17.4497
2008-04-14,17.3752
2008-04-15,17.359
2008-04-16,17.5938
2008-04-17,17.5516
2008-04-18,17.6447
2008-04-21,17.6745
2008-04-22,17.713
2008-04-23,18.0944
2008-04-24,18.1826
2008-04-25,18.282
2008-04-28,18.3118
2008-04-29,18.4783
2008-04-30,18.5516
2008-05-01,19.0596
2008-05-02,19.1553
2008-05-05,19.0559
2008-05-06,19.0311
2008-05-07,18.7292
2008-05-08,18.7168
2008-05-09,18.6522
2008-05-12,18.8137
2008-05-13,18.8509
2008-05-14,19.1043
2008-05-15,19.1975
2008-05-16,19.2025
2008-05-19,19.3776
2008-05-20,18.8745
2008-05-21,18.6062
2008-05-22,18.7056
2008-05-23,18.4435
2008-05-26,18.4435
2008-05-27,18.5677
2008-05-28,18.8745
2008-05-29,19.2186
2008-05-30,19.1727
2008-06-02,18.9354
2008-06-03,18.6907
2008-06-04,18.5391
2008-06-05,19.072
2008-06-06,18.5553
2008-06-09,18.3155
2008-06-10,18.1366
2008-06-11,17.6596
2008-06-12,17.6484
2008-06-13,17.8683
2008-06-16,17.6112
2008-06-17,17.4509
2008-06-18,17.287
2008-06-19,17.3565
2008-06-20,16.9242
2008-06-23,16.9304
2008-06-24,16.9329
2008-06-25,17.0832
2008-06-26,16.6311
2008-06-27,16.4323
2008-06-30,16.9516
2008-07-01,17.556
2008-07-02,17.3776
2008-07-03,17.2721
2008-07-04,17.2721
2008-07-07,17.2799
2008-07-08,17.4219
2008-07-09,17.0052
2008-07-10,17.2578
2008-07-11,17.1549
2008-07-14,17.0534
2008-07-15,17.0521
2008-07-16,17.0612
2008-07-17,16.9674
2008-07-18,17.125
2008-07-21,17.0143
2008-07-22,16.9271
2008-07-23,17.4935
2008-07-24,16.9557
2008-07-25,16.8307
2008-07-28,16.4323
2008-07-29,16.5391
2008-07-30,16.6549
2008-07-31,16.5586
2008-08-01,16.4167
2008-08-04,16.2917
2008-08-05,16.7318
2008-08-06,16.5
2008-08-07,16.2943
2008-08-08,16.8021
2008-08-11,17.1953
2008-08-12,17.0547
2008-08-13,16.8568
2008-08-14,16.888
2008-08-15,17.1706
2008-08-18,17
2008-08-19,16.6914
2008-08-20,16.694
2008-08-21,16.724
2008-08-22,17
2008-08-25,16.6224
2008-08-26,16.6094
2008-08-27,16.8815
2008-08-28,17.3073
2008-08-29,17.1497
2008-09-01,17.1497
2008-09-02,17.3451
2008-09-03,17.3594
2008-09-04,16.776
2008-09-05,16.694
2008-09-08,17.1927
2008-09-09,17.1419
2008-09-10,16.6966
2008-09-11,16.6784
2008-09-12,16.668
2008-09-15,15.9049
2008-09-16,15.8112
2008-09-17,15.0729
2008-09-18,15.5286
2008-09-19,16.168
2008-09-22,15.4479
2008-09-23,15.1745
2008-09-24,15.263
2008-09-25,15.8073
2008-09-26,15.8008
2008-09-29,14.6901
2008-09-30,14.9727
2008-10-01,15.4203
2008-10-02,15.2383
2008-10-03,15.2396
2008-10-06,14.5435
2008-10-07,13.9076
2008-10-08,13.3775
2008-10-09,12.4163
2008-10-10,12.253
2008-10-13,13.9438
2008-10-14,14.1138
2008-10-15,12.9491
2008-10-16,13.3481
2008-10-17,13.2584
2008-10-20,14.1232
2008-10-21,13.5877
2008-10-22,12.5422
2008-10-23,12.9893
2008-10-24,12.5542
2008-10-27,12.7577
2008-10-28,14.4525
2008-10-29,13.9719
2008-10-30,14.087
2008-10-31,13.9277
2008-11-03,14.5997
2008-11-04,15.3628
2008-11-05,14.3601
2008-11-06,13.7001
2008-11-07,14.1165
2008-11-10,14.2758
2008-11-11,13.9679
2008-11-12,13.3909
2008-11-13,14.5502
2008-11-14,14.0388
2008-11-17,13.6345
2008-11-18,13.4538
2008-11-19,12.672
2008-11-20,12.2169
2008-11-21,12.7724
2008-11-24,13.7001
2008-11-25,13.988
2008-11-26,14.7068
2008-11-27,14.7068
2008-11-28,14.822
2008-12-01,13.8648
2008-12-02,14.5382
2008-12-03,15.0268
2008-12-04,14.5475
2008-12-05,14.759
2008-12-08,15.4926
2008-12-09,15.0602
2008-12-10,14.664
2008-12-11,14.4819
2008-12-12,14.5636
2008-12-15,14.1098
2008-12-16,14.7296
2008-12-17,14.7657
2008-12-18,14.5462
2008-12-19,14.7055
2008-12-22,14.6519
2008-12-23,14.4525
2008-12-24,14.4953
2008-12-25,14.4953
