date,forward_pe
2008-01-01,49.1534
2008-01-02,48.1345
2008-01-03,47.5663
2008-01-04,46.1326
2008-01-07,46.3542
2008-01-08,45.4583
2008-01-09,45.8295
2008-01-10,46.4034
2008-01-11,45.2386
2008-01-14,45.6742
2008-01-15,44.625
2008-01-16,45.1932
2008-01-17,44.3807
2008-01-18,44.3826
2008-01-21,44.3826
2008-01-22,45.1193
2008-01-23,46.7652
2008-01-24,47.053
2008-01-25,46.1288
2008-01-28,46.9962
2008-01-29,47.2197
2008-01-30,46.9186
2008-01-31,48.5095
2008-02-01,49.2178
2008-02-04,48.1799
2008-02-05,46.858
2008-02-06,46.5663
2008-02-07,47.3561
2008-02-08,47.0322
2008-02-11,47.6742
2008-02-12,47.9167
2008-02-13,48.4337
2008-02-14,47.7652
2008-02-15,47.9773
2008-02-18,47.9773
2008-02-19,47.6705
2008-02-20,48.1117
2008-02-21,47.2386
2008-02-22,47.8655
2008-02-25,48.6572
2008-02-26,49.2424
2008-02-27,49.1155
2008-02-28,47.9527
2008-02-29,46.5303
2008-03-03,46.6458
2008-03-04,46.6799
2008-03-05,46.6875
2008-03-06,45.4545
2008-03-07,45.0417
2008-03-10,44.3523
2008-03-11,45.7216
2008-03-12,45.411
2008-03-13,45.5871
2008-03-14,44.733
2008-03-17,44.0663
2008-03-18,45.9792
2008-03-19,45.3788
2008-03-20,46.8295
2008-03-21,46.8295
2008-03-24,48.2917
2008-03-25,48.1686
2008-03-26,47.0966
2008-03-27,46.4621
2008-03-28,45.4299
2008-03-31,46.0833
2008-04-01,83.2393
2008-04-02,83.4033
2008-04-03,83.1475
2008-04-04,82.7869
2008-04-07,82.7148
2008-04-08,82.223
2008-04-09,80.6492
2008-04-10,81.3639
2008-04-11,79.7738
2008-04-14,79.3246
2008-04-15,79.4918
2008-04-16,80.7607
2008-04-17,81.2689
2008-04-18,82.8951
2008-04-21,82.823
2008-04-22,81.4525
2008-04-23,81.7213
2008-04-24,82.7967
2008-04-25,83.6361
2008-04-28,83.682
2008-04-29,84.0951
2008-04-30,83.1475
2008-05-01,85.8852
2008-05-02,85.718
2008-05-05,84.6426
2008-05-06,85.0885
2008-05-07,83.8885
2008-05-08,83.6656
2008-05-09,83.2689
2008-05-12,85
2008-05-13,85.2066
2008-05-14,86.0426
2008-05-15,87.1246
2008-05-16,86.3443
2008-05-19,86.0951
2008-05-20,84.7082
2008-05-21,83.0492
2008-05-22,83.2131
2008-05-23,81.7836
2008-05-26,81.7836
2008-05-27,82.6918
2008-05-28,83.0328
2008-05-29,83.8459
2008-05-30,83.5344
2008-06-02,82.5672
2008-06-03,82.5475
2008-06-04,82.9934
2008-06-05,84.0262
2008-06-06,80.682
2008-06-09,80.5738
2008-06-10,80.9246
2008-06-11,79.1377
2008-06-12,79.6623
2008-06-13,81.6918
2008-06-16,81.5934
2008-06-17,80.5148
2008-06-18,78.9902
2008-06-19,79.9508
2008-06-20,77.541
2008-06-23,76.2656
2008-06-24,76.0984
2008-06-25,77.2098
2008-06-26,74.5082
2008-06-27,73.977
2008-06-30,73.3016
2008-07-01,53.9952
2008-07-02,53.0531
2008-07-03,53.1932
2008-07-04,53.1932
2008-07-07,52.8333
2008-07-08,54.0217
2008-07-09,52.587
2008-07-10,51.6836
2008-07-11,51.0362
2008-07-14,50.7681
2008-07-15,50.913
2008-07-16,53.1449
2008-07-17,54.4541
2008-07-18,54.3671
2008-07-21,53.6763
2008-07-22,54.7971
2008-07-23,55.9155
2008-07-24,54.343
2008-07-25,54.1377
2008-07-28,52.7971
2008-07-29,54.5338
2008-07-30,54.7536
2008-07-31,54.2319
2008-08-01,53.942
2008-08-04,54.2005
2008-08-05,56.6401
2008-08-06,56.3841
2008-08-07,55.244
2008-08-08,58.1087
2008-08-11,59.5797
2008-08-12,58.6981
2008-08-13,57.7488
2008-08-14,58.8889
2008-08-15,59.4807
2008-08-18,58.4372
2008-08-19,57.128
2008-08-20,56.8164
2008-08-21,57.087
2008-08-22,58.3454
2008-08-25,56.9324
2008-08-26,57.0797
2008-08-27,57.3237
2008-08-28,58.6473
2008-08-29,58.0396
2008-09-01,58.0396
2008-09-02,59.1075
2008-09-03,59.4469
2008-09-04,57.4614
2008-09-05,57.5966
2008-09-08,59.9541
2008-09-09,58.4396
2008-09-10,58.4879
2008-09-11,59.2802
2008-09-12,58.9952
2008-09-15,57.343
2008-09-16,57.6643
2008-09-17,54.8744
2008-09-18,57.1787
2008-09-19,58.1787
2008-09-22,55.2947
2008-09-23,54.401
2008-09-24,54.0338
2008-09-25,55.0821
2008-09-26,55.6329
2008-09-29,51.4662
2008-09-30,53.442
2008-10-01,35.0159
2008-10-02,33.5391
2008-10-03,32.6172
2008-10-06,31.4402
2008-10-07,29.6396
2008-10-08,29.2201
2008-10-09,27.1053
2008-10-10,26.6539
2008-10-13,29.3636
2008-10-14,28.5742
2008-10-15,25.8293
2008-10-16,27.008
2008-10-17,27.126
2008-10-20,28.1308
2008-10-21,27.2695
2008-10-22,25.5566
2008-10-23,25.4211
2008-10-24,24.3652
2008-10-27,23.7592
2008-10-28,26.8724
2008-10-29,26.8549
2008-10-30,27.7337
2008-10-31,28.488
2008-11-03,28.0494
2008-11-04,29.1053
2008-11-05,27.4466
2008-11-06,25.9729
2008-11-07,26.4785
2008-11-10,25.799
2008-11-11,25.0622
2008-11-12,23.5024
2008-11-13,25.1946
2008-11-14,24.0335
2008-11-17,23.3126
2008-11-18,23.3254
2008-11-19,21.7209
2008-11-20,20.547
2008-11-21,21.9553
2008-11-24,23.6561
2008-11-25,24.1021
2008-11-26,25.4418
2008-11-27,25.4418
2008-11-28,25.7018
2008-12-01,23.4242
2008-12-02,24.4258
2008-12-03,25.4721
2008-12-04,25.5407
2008-12-05,26.4769
2008-12-08,27.4226
2008-12-09,26.6268
2008-12-10,27.2632
2008-12-11,26.1754
2008-12-12,26.2823
2008-12-15,25.9027
2008-12-16,27.3589
2008-12-17,27.4705
2008-12-18,26.9585
2008-12-19,26.8788
2008-12-22,26.0633
2008-12-23,25.7145
2008-12-24,25.925
2008-12-25,25.925
2008-12-26,26.0861
2008-12-29,25.7863
2008-12-30,26.6029
2008-12-31,27.0191
2009-01-01,15.4571
2009-01-02,16.1797
2009-01-05,16.1834
2009-01-06,16.4745
2009-01-07,15.8951
2009-01-08,15.9471
2009-01-09,15.4964
2009-01-12,15.1077
2009-01-13,14.9115
2009-01-14,14.354
2009-01-15,14.6478
2009-01-16,14.854
2009-01-19,14.854
2009-01-20,13.9179
2009-01-21,14.3859
2009-01-22,14.2016
2009-01-23,14.1232
2009-01-26,14.24
2009-01-27,14.2299
2009-01-28,14.823
2009-01-29,14.2299
2009-01-30,13.812
2009-02-02,13.7491
2009-02-03,14.1423
2009-02-04,13.7856
2009-02-05,14.0639
2009-02-06,14.4927
2009-02-09,14.4307
2009-02-10,13.75
2009-02-11,13.8203
2009-02-12,13.8622
2009-02-13,13.6533
2009-02-16,13.6533
2009-02-17,13.1058
2009-02-18,13.0046
2009-02-19,12.917
