date,forward_pe
1999-07-01,16.7906
1999-07-02,16.9558
1999-07-05,16.9558
1999-07-06,16.9696
1999-07-07,16.9672
1999-07-08,16.8291
1999-07-09,16.933
1999-07-12,16.7977
1999-07-13,16.6339
1999-07-14,16.5446
1999-07-15,16.7132
1999-07-16,16.8708
1999-07-19,16.7616
1999-07-20,16.4967
1999-07-21,16.321
1999-07-22,16.3837
1999-07-23,16.1833
1999-07-26,16.2479
1999-07-27,16.3813
1999-07-28,16.3186
1999-07-29,16.0185
1999-07-30,15.6434
1999-08-02,15.6135
1999-08-03,15.4022
1999-08-04,15.1401
1999-08-05,15.2142
1999-08-06,14.7911
1999-08-09,14.8704
1999-08-10,14.6301
1999-08-11,14.9202
1999-08-12,14.8837
1999-08-13,15.444
1999-08-16,15.4497
1999-08-17,15.9245
1999-08-18,15.8272
1999-08-19,15.5992
1999-08-20,15.802
1999-08-23,16.1752
1999-08-24,16.2374
1999-08-25,16.0912
1999-08-26,15.7934
1999-08-27,15.5627
1999-08-30,14.9497
1999-08-31,14.9079
1999-09-01,15.0399
1999-09-02,14.7911
1999-09-03,15.4264
1999-09-06,15.4264
1999-09-07,15.0973
1999-09-08,14.9725
1999-09-09,14.7802
1999-09-10,14.8632
1999-09-13,14.7792
1999-09-14,14.5123
1999-09-15,14.4231
1999-09-16,14.3694
1999-09-17,14.5845
1999-09-20,14.5385
1999-09-21,14.2113
1999-09-22,14.1956
1999-09-23,14.1054
1999-09-24,14.1838
1999-09-27,13.9444
1999-09-28,13.9853
1999-09-29,13.8704
1999-09-30,14.1092
1999-10-01,13.5203
1999-10-04,13.9502
1999-10-05,14.0161
1999-10-06,14.3627
1999-10-07,14.2065
1999-10-08,14.4903
1999-10-11,14.2968
1999-10-12,14.0622
1999-10-13,13.6166
1999-10-14,13.5567
1999-10-15,13.0152
1999-10-18,13.3037
1999-10-19,13.6387
1999-10-20,13.8959
1999-10-21,13.9217
1999-10-22,14.5461
1999-10-25,14.359
1999-10-26,14.2507
1999-10-27,14.9346
1999-10-28,15.9336
1999-10-29,15.9525
1999-11-01,15.7101
1999-11-02,15.7387
1999-11-03,15.5811
1999-11-04,15.8166
1999-11-05,16.1005
1999-11-08,16.0065
1999-11-09,15.7382
1999-11-10,15.547
1999-11-11,15.4309
1999-11-12,16.0733
1999-11-15,16.0825
1999-11-16,16.5544
1999-11-17,16.1157
1999-11-18,16.1088
1999-11-19,15.9747
1999-11-22,15.7871
1999-11-23,15.5124
1999-11-24,15.3733
1999-11-25,15.3733
1999-11-26,15.3419
1999-11-29,14.971
1999-11-30,15.1539
1999-12-01,15.0972
1999-12-02,15.0774
1999-12-03,15.4853
1999-12-06,15.0465
1999-12-07,14.9115
1999-12-08,14.6806
1999-12-09,14.8484
1999-12-10,15.1065
1999-12-13,14.918
1999-12-14,14.6359
1999-12-15,14.5129
1999-12-16,14.2783
1999-12-17,14.2516
1999-12-20,14.1742
1999-12-21,14.4654
1999-12-22,14.4521
1999-12-23,14.6871
1999-12-24,14.6871
1999-12-27,14.4977
1999-12-28,14.5447
1999-12-29,14.7147
1999-12-30,14.8111
1999-12-31,14.8258
2000-01-03,14.0402
2000-01-04,13.4616
2000-01-05,13.3711
2000-01-06,13.8981
2000-01-07,14.2016
2000-01-10,13.9484
2000-01-11,13.7847
2000-01-12,13.979
2000-01-13,14.3469
2000-01-14,14.7404
2000-01-17,14.7404
2000-01-18,14.2587
2000-01-19,14.1842
2000-01-20,13.8903
2000-01-21,13.7189
2000-01-24,13.5046
2000-01-25,13.6613
2000-01-26,14.1426
2000-01-27,14.2843
2000-01-28,13.7518
2000-01-31,14.218
2000-02-01,14.2445
2000-02-02,14.0941
2000-02-03,14.0599
2000-02-04,13.8446
2000-02-07,13.7144
2000-02-08,13.8734
2000-02-09,13.4927
2000-02-10,13.2089
2000-02-11,13.1993
2000-02-14,12.9904
2000-02-15,13.298
2000-02-16,13.0832
2000-02-17,12.8656
2000-02-18,12.431
2000-02-21,12.431
2000-02-22,12.5192
2000-02-23,12.457
2000-02-24,12.2911
2000-02-25,12.1641
2000-02-28,12.5315
2000-02-29,12.6563
2000-03-01,12.8346
2000-03-02,12.7093
2000-03-03,12.8771
