date,forward_pe
2008-01-01,15.66
2008-02-01,15.78
2008-03-01,15.66
2008-04-01,17.86
2008-05-01,18.07
2008-06-01,16.94
2008-07-01,17.88
2008-08-01,18.48
2008-09-01,17.34
2008-10-01,15.16
2008-11-01,13.79
2008-12-01,13.67
2009-01-01,13.82
2009-02-01,12.01
2009-03-01,10.66
2009-04-01,12.14
2009-05-01,13.2
2009-06-01,13.35
2009-07-01,12.36
2009-08-01,13.77
2009-09-01,14.6
2009-10-01,13.36
2009-11-01,13.75
2009-12-01,14.14
2010-01-01,13.6
2010-02-01,13.34
2010-03-01,14.42
2010-04-01,14.63
2010-05-01,13.83
2010-06-01,13.06
2010-07-01,12.38
2010-08-01,12.69
2010-09-01,13.12
2010-10-01,13.37
2010-11-01,13.54
2010-12-01,14.3
2011-01-01,14.75
2011-02-01,15.37
2011-03-01,15.13
2011-04-01,14.88
2011-05-01,14.87
2011-06-01,14.18
2011-07-01,14.11
2011-08-01,11.97
2011-09-01,11.74
2011-10-01,12
2011-11-01,12.35
2011-12-01,12.66
2012-01-01,13.86
2012-02-01,14.38
2012-03-01,14.44
2012-04-01,14.26
2012-05-01,13.77
2012-06-01,13.46
2012-07-01,13.67
2012-08-01,14.16
2012-09-01,14.35
2012-10-01,13.85
2012-11-01,13.7
2012-12-01,14.1
2013-01-01,13.79
2013-02-01,14.16
2013-03-01,14.47
2013-04-01,14.1
2013-05-01,14.81
2013-06-01,14.75
2013-07-01,14.73
2013-08-01,14.91
2013-09-01,15.27
2013-10-01,15.32
2013-11-01,16.11
2013-12-01,16.42
2014-01-01,16.53
2014-02-01,16.31
2014-03-01,16.68
2014-04-01,16.63
2014-05-01,16.89
2014-06-01,17.29
2014-07-01,17.2
2014-08-01,16.91
2014-09-01,17.17
2014-10-01,16.28
2014-11-01,17.51
2014-12-01,17.51
2015-01-01,16.96
2015-02-01,17.46
2015-03-01,17.34
2015-04-01,17.5
2015-05-01,17.57
2015-06-01,17.3
2015-07-01,16.77
2015-08-01,16.37
2015-09-01,15.71
2015-10-01,16.66
2015-11-01,17.19
2015-12-01,16.83
2016-01-01,15.97
2016-02-01,16.29
2016-03-01,17.48
2016-04-01,17.6
2016-05-01,17.47
2016-06-01,17.57
2016-07-01,17.67
2016-08-01,17.82
2016-09-01,17.57
2016-10-01,17.1
2016-11-01,17.93
2016-12-01,18.77
2017-01-01,18.04
2017-02-01,18.42
2017-03-01,18.54
2017-04-01,17.09
2017-05-01,17.36
2017-06-01,17.73
2017-07-01,17.02
2017-08-01,16.8
2017-09-01,17.15
2017-10-01,16.86
2017-11-01,16.64
2017-12-01,17.36
2018-01-01,17.79
2018-02-01,17.16
2018-03-01,16.97
2018-04-01,16.85
2018-05-01,16.87
2018-06-01,16.86
2018-07-01,16.99
2018-08-01,17.51
2018-09-01,18.01
2018-10-01,17.17
2018-11-01,16.48
2018-12-01,15.3
2019-01-01,16.15
2019-02-01,17.71
2019-03-01,17.66
2019-04-01,21.04
2019-05-01,20.46
2019-06-01,20.63
2019-07-01,27.67
2019-08-01,26.51
2019-09-01,27.65
2019-10-01,34.68
2019-11-01,36.78
2019-12-01,36.57
2020-01-01,51.58
2020-02-01,50.85
2020-03-01,38.49
2020-04-01,33.4
2020-05-01,34.33
2020-06-01,38.1
2020-07-01,27.02
2020-08-01,29.21
2020-09-01,29.64
2020-10-01,25.36
2020-11-01,27.24
2020-12-01,28.23
2021-01-01,23.44
2021-02-01,23.8
2021-03-01,25.33
2021-04-01,25.18
2021-05-01,25.91
2021-06-01,25.71
2021-07-01,24.37
2021-08-01,24.61
2021-09-01,23.97
2021-10-01,23.3
2021-11-01,24.06
2021-12-01,23.64
2022-01-01,21.65
2022-02-01,20.83
2022-03-01,21.08
2022-04-01,18.97
2022-05-01,17.8
2022-06-01,17.16
2022-07-01,16.09
2022-08-01,17.53
2022-09-01,16.15
2022-10-01,15.79
2022-11-01,17.56
2022-12-01,17.75
2023-01-01,18.2
2023-02-01,18.48
2023-03-01,18
2023-04-01,18.55
2023-05-01,18.36
2023-06-01,19.24
2023-07-01,20.25
2023-08-01,20.05
2023-09-01,19.36
2023-10-01,18.56
2023-11-01,19.2
2023-12-01,20.63
2024-01-01,21.58
2024-02-01,22.61
2024-03-01,23.6
2024-04-01,23.29
2024-05-01,23.45
2024-06-01,23.1
2024-07-01,23.75
2024-08-01,24.13
2024-09-01,25.04
2024-10-01,25.39
2024-11-01,26.07
2024-12-01,25.39
2025-01-01,23.72
2025-02-01,23.8
2025-03-01,22.99
2025-04-01,21.58
2025-05-01,23.91
2025-06-01,24.65
2025-07-01,25.05
2025-08-01,25.09
2025-09-01,25.13
2025-10-01,24.38
2025-11-01,24.09
2025-12-01,24.61
2026-01-01,25.05
2026-02-01,26.64
2026-03-01,25.54
2026-04-01,25.53
2026-05-01,25.49
