date,forward_pe
2008-01-01,17.6416
2008-01-02,17.4016
2008-01-03,17.4571
2008-01-04,17.5184
2008-01-07,17.9559
2008-01-08,17.9412
2008-01-09,18.169
2008-01-10,18.0808
2008-01-11,17.9494
2008-01-14,17.9984
2008-01-15,17.7878
2008-01-16,17.5094
2008-01-17,16.8457
2008-01-18,16.5576
2008-01-21,16.5576
2008-01-22,16.0008
2008-01-23,16.5551
2008-01-24,16.098
2008-01-25,15.8212
2008-01-28,16.0531
2008-01-29,16.1135
2008-01-30,16.0808
2008-01-31,16.4131
2008-02-01,16.6735
2008-02-04,16.9282
2008-02-05,16.3298
2008-02-06,16.3045
2008-02-07,16.2359
2008-02-08,16.1461
2008-02-11,16.28
2008-02-12,16.4653
2008-02-13,16.4661
2008-02-14,16.2922
2008-02-15,16.3608
2008-02-18,16.3608
2008-02-19,16.3241
2008-02-20,16.3176
2008-02-21,16.0424
2008-02-22,16.2294
2008-02-25,16.298
2008-02-26,16.4327
2008-02-27,16.129
2008-02-28,16.022
2008-02-29,15.5412
2008-03-03,15.7233
2008-03-04,15.9608
2008-03-05,15.969
2008-03-06,15.6147
2008-03-07,15.551
2008-03-10,15.4465
2008-03-11,15.9355
2008-03-12,15.7257
2008-03-13,15.7543
2008-03-14,15.6147
2008-03-17,15.6082
2008-03-18,15.8808
2008-03-19,15.538
2008-03-20,15.6278
2008-03-21,15.6278
2008-03-24,15.5837
2008-03-25,15.5731
2008-03-26,15.6522
2008-03-27,15.738
2008-03-28,15.6033
2008-03-31,15.7584
2008-04-01,16.5812
2008-04-02,16.6968
2008-04-03,16.6223
2008-04-04,16.6993
2008-04-07,16.7228
2008-04-08,16.7906
2008-04-09,16.7915
2008-04-10,16.6926
2008-04-11,16.6926
2008-04-14,16.7069
2008-04-15,16.84
2008-04-16,17.2152
2008-04-17,17.2194
2008-04-18,17.2571
2008-04-21,17.1499
2008-04-22,17.0544
2008-04-23,17.1893
2008-04-24,17.0653
2008-04-25,17.1131
2008-04-28,17.0804
2008-04-29,16.9858
2008-04-30,17.0092
2008-05-01,17.1859
2008-05-02,17.3693
2008-05-05,17.1357
2008-05-06,17.139
2008-05-07,16.8861
2008-05-08,16.9581
2008-05-09,17
2008-05-12,17.1616
2008-05-13,17.0821
2008-05-14,17.2286
2008-05-15,17.1809
2008-05-16,17.2881
2008-05-19,17.4866
2008-05-20,17.5444
2008-05-21,17.536
2008-05-22,17.6173
2008-05-23,17.2739
2008-05-26,17.2739
2008-05-27,17.4012
2008-05-28,17.3961
2008-05-29,17.5168
2008-05-30,17.5008
2008-06-02,17.3208
2008-06-03,17.2194
2008-06-04,17.4137
2008-06-05,17.6089
