date,forward_pe
2008-01-01,10.97
2008-02-01,10.86
2008-03-01,10.96
2008-04-01,15.44
2008-05-01,16.29
2008-06-01,16.36
2008-07-01,19.56
2008-08-01,18.13
2008-09-01,16.92
2008-10-01,25.38
2008-11-01,24.99
2008-12-01,24.39
2009-01-01,22.22
2009-02-01,20.92
2009-03-01,19.4
2009-04-01,14.01
2009-05-01,15.09
2009-06-01,15.45
2009-07-01,12.43
2009-08-01,13.1
2009-09-01,13.55
2009-10-01,13.28
2009-11-01,13.49
2009-12-01,13.23
2010-01-01,12.43
2010-02-01,11.88
2010-03-01,12.2
2010-04-01,11.94
2010-05-01,11.02
2010-06-01,10.57
2010-07-01,9.52
2010-08-01,9.72
2010-09-01,9.88
2010-10-01,9.32
2010-11-01,9.88
2010-12-01,10.51
2011-01-01,10.88
2011-02-01,11.72
2011-03-01,11.91
2011-04-01,11.98
2011-05-01,11.49
2011-06-01,11.18
2011-07-01,11.92
2011-08-01,10.41
2011-09-01,9.96
2011-10-01,11.2
2011-11-01,11.65
2011-12-01,11.73
2012-01-01,12.04
2012-02-01,12.45
2012-03-01,12.38
2012-04-01,11.92
2012-05-01,11.36
2012-06-01,11
2012-07-01,11.8
2012-08-01,12.39
2012-09-01,12.76
2012-10-01,12.66
2012-11-01,12.15
2012-12-01,12.3
2013-01-01,13.19
2013-02-01,13.57
2013-03-01,13.67
2013-04-01,13.29
2013-05-01,13.9
2013-06-01,13.66
2013-07-01,13.91
2013-08-01,13.82
2013-09-01,14.08
2013-10-01,13.57
2013-11-01,13.93
2013-12-01,13.93
2014-01-01,14.74
2014-02-01,14.49
2014-03-01,14.86
2014-04-01,21.75
2014-05-01,22.37
2014-06-01,23.23
2014-07-01,39.58
2014-08-01,38.45
2014-09-01,37.4
2014-10-01,507.41
2014-11-01,512.18
2014-12-01,471.21
2015-01-01,-41.03
2015-02-01,-42.93
2015-03-01,-40.88
2015-04-01,-37.07
2015-05-01,-36.79
2015-06-01,-35.28
2015-07-01,-30.29
2015-08-01,-27.78
2015-09-01,-26.38
2015-10-01,-41.01
2015-11-01,-41.52
2015-12-01,-37.77
2016-01-01,-119.32
2016-02-01,-121.05
2016-03-01,-131.44
2016-04-01,155.06
2016-05-01,158.72
2016-06-01,162.27
2016-07-01,64.54
2016-08-01,64.18
2016-09-01,63.95
2016-10-01,48
2016-11-01,48.2
2016-12-01,51.78
2017-01-01,41.26
2017-02-01,39.71
2017-03-01,38.59
2017-04-01,32.41
2017-05-01,31.45
2017-06-01,30.53
2017-07-01,24.51
2017-08-01,23.85
2017-09-01,24.89
2017-10-01,20.69
2017-11-01,20.76
2017-12-01,21.29
2018-01-01,18.37
2018-02-01,16.52
2018-03-01,16.2
2018-04-01,18.74
2018-05-01,19.95
2018-06-01,19.83
2018-07-01,20.86
2018-08-01,20.42
2018-09-01,20.45
2018-10-01,21.53
2018-11-01,19.82
2018-12-01,17.97
2019-01-01,28.4
2019-02-01,29.77
2019-03-01,30.22
2019-04-01,156.28
2019-05-01,145.86
2019-06-01,143.17
2019-07-01,-44.3
2019-08-01,-40.45
2019-09-01,-42.1
2019-10-01,-22.94
2019-11-01,-23.64
2019-12-01,-23.9
2020-01-01,-16.03
2020-02-01,-14.35
2020-03-01,-8.95
2020-04-01,-16.88
2020-05-01,-18.91
2020-06-01,-20.1
2020-07-01,-251.42
2020-08-01,-250.59
2020-09-01,-220.65
2020-10-01,22.52
2020-11-01,25.71
2020-12-01,29.17
2021-01-01,10.12
2021-02-01,10.87
2021-03-01,12.24
2021-04-01,8.76
2021-05-01,9.4
2021-06-01,9.83
2021-07-01,6.19
2021-08-01,5.9
2021-09-01,6.03
2021-10-01,5.63
2021-11-01,5.65
2021-12-01,5.49
2022-01-01,5.79
2022-02-01,6.28
2022-03-01,6.9
2022-04-01,6.89
2022-05-01,7.25
2022-06-01,7.21
2022-07-01,7.54
2022-08-01,8.23
2022-09-01,8.1
2022-10-01,10.09
2022-11-01,11.01
2022-12-01,10.34
2023-01-01,11.95
2023-02-01,11.59
2023-03-01,10.92
2023-04-01,12.47
2023-05-01,11.51
2023-06-01,11.57
2023-07-01,12.1
2023-08-01,12.7
2023-09-01,13.24
2023-10-01,13.96
2023-11-01,13.33
2023-12-01,13.19
2024-01-01,13.7
2024-02-01,13.98
2024-03-01,14.92
2024-04-01,17.01
2024-05-01,16.4
2024-06-01,15.86
2024-07-01,16.87
2024-08-01,16.53
2024-09-01,16.08
2024-10-01,16.87
2024-11-01,17.38
2024-12-01,16.19
2025-01-01,16.72
2025-02-01,16.67
2025-03-01,16.71
2025-04-01,15.34
2025-05-01,15.39
2025-06-01,15.86
2025-07-01,16.44
2025-08-01,16.21
2025-09-01,16.73
2025-10-01,16.52
2025-11-01,16.82
2025-12-01,16.91
2026-01-01,17.68
2026-02-01,19.98
2026-03-01,21.62
2026-04-01,15.77
2026-05-01,14.14
