date,forward_pe
2008-01-01,79.1676
2008-01-02,78.6089
2008-01-03,75.905
2008-01-04,72.7933
2008-01-07,73.4916
2008-01-08,70.4972
2008-01-09,71.8603
2008-01-10,73.2458
2008-01-11,73.4246
2008-01-14,73.162
2008-01-15,70.7374
2008-01-16,72.1229
2008-01-17,70.6872
2008-01-18,70.0503
2008-01-21,70.0503
2008-01-22,72.8771
2008-01-23,79.5196
2008-01-24,77.838
2008-01-25,76.6034
2008-01-28,79.1844
2008-01-29,78.5028
2008-01-30,76.9497
2008-01-31,78.5251
2008-02-01,82.1508
2008-02-04,80.8045
2008-02-05,77.324
2008-02-06,76.1899
2008-02-07,77.905
2008-02-08,75.0279
2008-02-11,73.838
2008-02-12,76.3017
2008-02-13,76.4581
2008-02-14,74.9888
2008-02-15,75.5587
2008-02-18,75.5587
2008-02-19,74.7598
2008-02-20,76.0615
2008-02-21,74.3743
2008-02-22,76.3575
2008-02-25,79.1173
2008-02-26,79.0615
2008-02-27,78.4525
2008-02-28,76.7654
2008-02-29,75.1117
2008-03-03,75.8492
2008-03-04,75.5251
2008-03-05,75.9832
2008-03-06,72.7598
2008-03-07,73.9385
2008-03-10,72.3352
2008-03-11,77.5475
2008-03-12,75.8715
2008-03-13,76.8659
2008-03-14,75.0112
2008-03-17,74.7039
2008-03-18,78.8715
2008-03-19,78.1285
2008-03-20,82
2008-03-21,82
2008-03-24,83.5196
2008-03-25,84.0335
2008-03-26,82
2008-03-27,81.067
2008-03-28,80.3631
2008-03-31,80.6872
2008-04-01,106.8951
2008-04-02,106.7273
2008-04-03,108.8881
2008-04-04,106.7692
2008-04-07,107.0629
2008-04-08,105.0629
2008-04-09,102.7413
2008-04-10,103.7413
2008-04-11,102.3497
2008-04-14,101.4965
2008-04-15,102.7413
2008-04-16,107.1818
2008-04-17,107.7483
2008-04-18,107.6294
2008-04-21,106.4545
2008-04-22,105.9301
2008-04-23,107.7063
2008-04-24,110.1608
2008-04-25,110.5385
2008-04-28,110.3846
2008-04-29,108.3706
2008-04-30,106.3007
2008-05-01,109.3217
2008-05-02,109.5804
2008-05-05,109.2098
2008-05-06,110.0839
2008-05-07,106.4965
2008-05-08,106.2448
2008-05-09,105.0559
2008-05-12,107.951
2008-05-13,108.2727
2008-05-14,109.1608
2008-05-15,110.7063
2008-05-16,109.8881
2008-05-19,110.1888
2008-05-20,108.2587
2008-05-21,105.2657
2008-05-22,104.5874
2008-05-23,103.6573
2008-05-26,103.6573
2008-05-27,105.3497
2008-05-28,105.6364
2008-05-29,107.2867
2008-05-30,106.5874
2008-06-02,104.3776
2008-06-03,105.2028
2008-06-04,105.7552
2008-06-05,108.6294
2008-06-06,103.4825
2008-06-09,101.3986
2008-06-10,102.3986
2008-06-11,100.035
2008-06-12,101.2867
2008-06-13,103.6503
2008-06-16,104.993
2008-06-17,101.3147
2008-06-18,99.6993
2008-06-19,102.4476
2008-06-20,99.5315
2008-06-23,97.2867
2008-06-24,97.9231
2008-06-25,99.7692
2008-06-26,95.4056
2008-06-27,94.5944
2008-06-30,94.6713
2008-07-01,259.5577
2008-07-02,254.1538
2008-07-03,253.8462
2008-07-04,253.8462
2008-07-07,247.5385
2008-07-08,264.4038
2008-07-09,245.4615
2008-07-10,250.8846
2008-07-11,249.3654
2008-07-14,240.1923
2008-07-15,239.3846
2008-07-16,256.5385
2008-07-17,262.0962
2008-07-18,263.1538
2008-07-21,263.0769
2008-07-22,270.4038
2008-07-23,277.1346
2008-07-24,256.1154
2008-07-25,262.3269
2008-07-28,254.7308
2008-07-29,271.9038
2008-07-30,269.4231
2008-07-31,264.25
2008-08-01,263.2692
2008-08-04,259.7115
2008-08-05,273.6154
2008-08-06,272.1154
2008-08-07,263.7308
2008-08-08,276.25
2008-08-11,282.5385
2008-08-12,273.8077
2008-08-13,267.0577
2008-08-14,271.8846
2008-08-15,272.3077
2008-08-18,266.0577
2008-08-19,259.6731
2008-08-20,260.8462
2008-08-21,257.2692
2008-08-22,266.9038
2008-08-25,257
2008-08-26,260.3077
2008-08-27,262.25
2008-08-28,271.25
2008-08-29,267.9615
2008-09-01,267.9615
2008-09-02,270.7115
2008-09-03,274.6154
2008-09-04,265.8846
2008-09-05,267.3654
2008-09-08,280.7115
2008-09-09,267.4231
2008-09-10,268.0385
2008-09-11,271.5385
2008-09-12,275.0962
2008-09-15,246.4808
2008-09-16,266.4615
2008-09-17,248.7115
2008-09-18,280.1538
2008-09-19,282.75
2008-09-22,256
2008-09-23,257.3077
2008-09-24,253.8846
2008-09-25,258.75
2008-09-26,267.4808
2008-09-29,245.2308
2008-09-30,262.5769
2008-10-01,1021.5385
2008-10-02,948.1538
2008-10-03,904
2008-10-06,877.8462
2008-10-07,799.7692
2008-10-08,799.8462
2008-10-09,715.2308
2008-10-10,833.5385
2008-10-13,864.6923
2008-10-14,795.2308
2008-10-15,689.6923
2008-10-16,724.3077
2008-10-17,724.5385
2008-10-20,728.2308
2008-10-21,695.7692
2008-10-22,634.7692
2008-10-23,635.3846
2008-10-24,592.3077
2008-10-27,565.8462
2008-10-28,683.2308
2008-10-29,649.4615
2008-10-30,670.3077
2008-10-31,713.3077
2008-11-03,684.3846
2008-11-04,737.0769
2008-11-05,654.4615
2008-11-06,618.3077
2008-11-07,659.7692
2008-11-10,599.0769
2008-11-11,587.7692
2008-11-12,533.1538
2008-11-13,595
2008-11-14,533.0769
2008-11-17,510.3077
2008-11-18,506.5385
2008-11-19,440.8462
2008-11-20,405.3846
2008-11-21,437.0769
2008-11-24,525.2308
2008-11-25,527.3077
2008-11-26,551.3077
2008-11-27,551.3077
2008-11-28,529.6923
2008-12-01,431.8462
2008-12-02,491.3077
2008-12-03,520
2008-12-04,504.0769
2008-12-05,558.6154
2008-12-08,610.9231
2008-12-09,558.0769
2008-12-10,602.5385
2008-12-11,506.0769
2008-12-12,560.8462
2008-12-15,535.7692
2008-12-16,611.3846
2008-12-17,617
2008-12-18,560.6923
2008-12-19,589.0769
2008-12-22,567.3077
2008-12-23,566.5385
2008-12-24,573.9231
2008-12-25,573.9231
2008-12-26,579.3077
2008-12-29,549.4615
2008-12-30,572.6154
2008-12-31,599.7692
2009-01-01,78.7576
2009-01-02,76.798
2009-01-05,75
2009-01-06,79.3434
2009-01-07,75.8889
2009-01-08,75.2323
2009-01-09,71.2929
2009-01-12,66.697
2009-01-13,68.7071
2009-01-14,65.1515
2009-01-15,67.3636
2009-01-16,70.0505
2009-01-19,70.0505
2009-01-20,61.4949
2009-01-21,68.3838
2009-01-22,64.1515
2009-01-23,65.9394
2009-01-26,65.2626
2009-01-27,66.0707
2009-01-28,72.1515
2009-01-29,66.1515
2009-01-30,63.8586
2009-02-02,64.5051
2009-02-03,63.9495
2009-02-04,63.0606
2009-02-05,61.3131
2009-02-06,65.899
2009-02-09,66.6667
2009-02-10,60.0707
2009-02-11,61.5354
2009-02-12,60.3232
2009-02-13,56.0303
2009-02-16,56.0303
2009-02-17,51.9192
2009-02-18,53.1212
2009-02-19,50.5253
2009-02-20,53.9495
2009-02-23,49.5758
2009-02-24,53.9697
2009-02-25,52.7071
2009-02-26,49.7475
2009-02-27,49.0707
2009-03-02,45.1919
2009-03-03,45.7879
2009-03-04,46.7374
2009-03-05,43.5657
2009-03-06,43.3838
2009-03-09,44.8687
2009-03-10,51.7879
2009-03-11,50.2525
2009-03-12,54.3131
2009-03-13,52.6768
2009-03-16,48.0909
2009-03-17,52.1111
2009-03-18,54.7677
2009-03-19,51.5556
2009-03-20,47.1515
2009-03-23,55.4646
2009-03-24,50.5556
2009-03-25,51.4747
2009-03-26,52.8485
2009-03-27,49.7576
