date,forward_pe
2008-01-01,32.1187
2008-01-02,31.8455
2008-01-03,32.309
2008-01-04,31.3993
2008-01-07,31.0618
2008-01-08,30.5624
2008-01-09,30.8319
2008-01-10,31.2435
2008-01-11,30.8554
2008-01-14,31.932
2008-01-15,30.9666
2008-01-16,29.9691
2008-01-17,28.3511
2008-01-18,28.8826
2008-01-21,28.8826
2008-01-22,28.5562
2008-01-23,28.8986
2008-01-24,29.7219
2008-01-25,29.6539
2008-01-28,30.2546
2008-01-29,30.4153
2008-01-30,30.4054
2008-01-31,30.8257
2008-02-01,31.5056
2008-02-04,31.0667
2008-02-05,29.9258
2008-02-06,29.7639
2008-02-07,29.9419
2008-02-08,30.5056
2008-02-11,30.9642
2008-02-12,31.0235
2008-02-13,31.3399
2008-02-14,31.1088
2008-02-15,31.0544
2008-02-18,31.0544
2008-02-19,31.6415
2008-02-20,32.0247
2008-02-21,31.5204
2008-02-22,31.6922
2008-02-25,32.4994
2008-02-26,32.5043
2008-02-27,32.6094
2008-02-28,32.5167
2008-02-29,31.398
2008-03-03,31.8838
2008-03-04,31.1904
2008-03-05,31.9481
2008-03-06,31.5501
2008-03-07,30.3844
2008-03-10,29.3968
2008-03-11,31.1656
2008-03-12,31.0532
2008-03-13,31.6996
2008-03-14,31.3659
2008-03-17,30.686
2008-03-18,31.7689
2008-03-19,29.7713
2008-03-20,29.6106
2008-03-21,29.6106
2008-03-24,30.5624
2008-03-25,31.419
2008-03-26,31.4623
2008-03-27,31.0383
2008-03-28,30.9876
2008-03-31,30.979
2008-04-01,55.3384
2008-04-02,55.7866
2008-04-03,56.7759
2008-04-04,57.5948
2008-04-07,57.2694
2008-04-08,57.5582
2008-04-09,57.0603
2008-04-10,57.1897
2008-04-11,56.3879
2008-04-14,56.194
2008-04-15,56.3901
2008-04-16,59.1853
2008-04-17,58.7457
2008-04-18,59.5194
2008-04-21,59.5668
2008-04-22,58.7651
2008-04-23,58.028
2008-04-24,57.2414
2008-04-25,58.9978
2008-04-28,58.2888
2008-04-29,56.4957
2008-04-30,56.8901
2008-05-01,56.4892
2008-05-02,57.2349
2008-05-05,58.1034
2008-05-06,58.6983
2008-05-07,57.8772
2008-05-08,59.2263
2008-05-09,58.3491
2008-05-12,59.444
2008-05-13,59.6315
2008-05-14,59.9784
2008-05-15,60.8254
2008-05-16,61.6185
2008-05-19,61.4418
2008-05-20,61.4871
2008-05-21,59.5927
2008-05-22,59.3922
2008-05-23,58.5819
2008-05-26,58.5819
2008-05-27,58.2759
2008-05-28,59.9073
2008-05-29,59.1164
2008-05-30,59.5151
2008-06-02,59.1616
2008-06-03,59.1078
2008-06-04,58.8319
2008-06-05,60.8491
2008-06-06,59.347
2008-06-09,60.1207
2008-06-10,59.3491
2008-06-11,58.2845
2008-06-12,58.2112
2008-06-13,59.7694
2008-06-16,59.8017
2008-06-17,59.9095
2008-06-18,59.5237
2008-06-19,59.6185
2008-06-20,58.6293
2008-06-23,59.2026
2008-06-24,57.7349
2008-06-25,57.8944
2008-06-26,56.0776
2008-06-27,56.2737
2008-06-30,56.1078
2008-07-01,163.0506
2008-07-02,154.4873
2008-07-03,155.7278
2008-07-04,155.7278
2008-07-07,155.443
2008-07-08,154.4557
2008-07-09,153.1962
2008-07-10,157.0443
2008-07-11,156.4684
2008-07-14,156.4241
2008-07-15,154.6835
2008-07-16,156.2532
2008-07-17,155.9051
2008-07-18,155.2342
2008-07-21,158.4937
2008-07-22,158.3101
2008-07-23,155.6582
2008-07-24,152.1835
2008-07-25,153.5759
2008-07-28,152.6899
2008-07-29,156.1013
