date,forward_pe
2008-01-01,17.4461
2008-01-02,17.2091
2008-01-03,17.1578
2008-01-04,17.0606
2008-01-07,17.3576
2008-01-08,17.3081
2008-01-09,17.4543
2008-01-10,17.5847
2008-01-11,17.2248
2008-01-14,17.1846
2008-01-15,16.9592
2008-01-16,16.9185
2008-01-17,16.6907
2008-01-18,16.5166
2008-01-21,16.5166
2008-01-22,16.2778
2008-01-23,16.463
2008-01-24,16.4083
2008-01-25,16.1846
2008-01-28,16.3803
2008-01-29,16.3535
2008-01-30,16.2743
2008-01-31,16.5149
2008-02-01,16.6651
2008-02-04,16.5451
2008-02-05,16.2353
2008-02-06,16.191
2008-02-07,16.4339
2008-02-08,16.3081
2008-02-11,16.4747
2008-02-12,16.6383
2008-02-13,16.6814
2008-02-14,16.5248
2008-02-15,16.5865
2008-02-18,16.5865
2008-02-19,16.5766
2008-02-20,16.6028
2008-02-21,16.5416
2008-02-22,16.643
2008-02-25,16.7501
2008-02-26,16.8771
2008-02-27,16.8486
2008-02-28,16.7542
2008-02-29,16.4723
2008-03-03,16.544
2008-03-04,16.5789
2008-03-05,16.6243
2008-03-06,16.4694
2008-03-07,16.3891
2008-03-10,16.3296
2008-03-11,16.6249
2008-03-12,16.5603
2008-03-13,16.5603
2008-03-14,16.2964
2008-03-17,16.2231
2008-03-18,16.6156
2008-03-19,16.5172
2008-03-20,16.7833
2008-03-21,16.7833
2008-03-24,16.9511
2008-03-25,16.9988
2008-03-26,16.9499
2008-03-27,16.9138
2008-03-28,16.9272
2008-03-31,16.961
2008-04-01,17.3541
2008-04-02,17.2325
2008-04-03,17.2325
2008-04-04,17.2525
2008-04-07,17.2384
2008-04-08,17.1996
2008-04-09,17.0681
2008-04-10,17.1227
2008-04-11,16.9912
2008-04-14,17.0035
2008-04-15,17.0857
2008-04-16,17.1556
2008-04-17,17.0898
2008-04-18,17.0975
2008-04-21,17.1403
2008-04-22,16.9947
2008-04-23,17.1315
2008-04-24,17.1022
2008-04-25,17.017
2008-04-28,17.0558
2008-04-29,17.1157
2008-04-30,17.0346
2008-05-01,17.1345
2008-05-02,17.1204
2008-05-05,17.1057
2008-05-06,17.1286
2008-05-07,16.9771
2008-05-08,17.0059
2008-05-09,16.8849
2008-05-12,17.0299
2008-05-13,17.0182
2008-05-14,17.1033
2008-05-15,17.239
2008-05-16,17.2648
2008-05-19,17.2413
2008-05-20,17.101
2008-05-21,16.9425
2008-05-22,17.128
2008-05-23,17.0634
2008-05-26,17.0634
2008-05-27,17.145
2008-05-28,17.0669
2008-05-29,17.249
2008-05-30,17.2531
2008-06-02,17.1092
2008-06-03,17.0681
2008-06-04,17.1509
2008-06-05,17.3412
2008-06-06,16.9078
2008-06-09,16.946
2008-06-10,17.0916
2008-06-11,16.9196
2008-06-12,17.0194
2008-06-13,17.0241
2008-06-16,16.835
2008-06-17,16.7569
2008-06-18,16.5725
2008-06-19,16.6389
2008-06-20,16.4328
2008-06-23,16.3917
2008-06-24,16.431
2008-06-25,16.6307
2008-06-26,16.2819
2008-06-27,16.0816
2008-06-30,16.0875
2008-07-01,15.851
2008-07-02,15.8349
2008-07-03,15.9522
2008-07-04,15.9522
2008-07-07,15.9574
2008-07-08,16.1893
2008-07-09,16.1013
2008-07-10,16.0978
2008-07-11,16.0224
2008-07-14,16.0506
2008-07-15,16.0587
2008-07-16,16.1858
2008-07-17,16.107
2008-07-18,16.0104
2008-07-21,15.8993
2008-07-22,16.214
2008-07-23,16.2888
2008-07-24,16.1369
2008-07-25,16.1277
2008-07-28,15.9977
2008-07-29,16.3188
2008-07-30,16.4891
2008-07-31,16.2756
2008-08-01,16.2699
2008-08-04,16.4661
2008-08-05,16.8303
2008-08-06,16.882
2008-08-07,16.5667
2008-08-08,16.9528
2008-08-11,17.0213
2008-08-12,17.0903
2008-08-13,16.9885
2008-08-14,17.0259
2008-08-15,17.2031
2008-08-18,17.0386
2008-08-19,16.9166
2008-08-20,16.8867
2008-08-21,16.8262
2008-08-22,17.0207
2008-08-25,16.7652
2008-08-26,16.7405
2008-08-27,16.7923
2008-08-28,16.8941
2008-08-29,16.6847
2008-09-01,16.6847
2008-09-02,16.859
2008-09-03,16.8481
2008-09-04,16.6582
2008-09-05,16.8216
2008-09-08,17.168
2008-09-09,17.0639
2008-09-10,17.1364
2008-09-11,17.3239
2008-09-12,17.3072
2008-09-15,17.0478
2008-09-16,17.0892
2008-09-17,16.5293
2008-09-18,16.8918
2008-09-19,16.8297
2008-09-22,16.3878
2008-09-23,16.2463
2008-09-24,16.3147
2008-09-25,16.5829
2008-09-26,16.6887
2008-09-29,15.9868
2008-09-30,16.4154
2008-10-01,16.4381
2008-10-02,16.221
2008-10-03,16.1006
2008-10-06,15.5517
2008-10-07,15.042
2008-10-08,14.7869
2008-10-09,13.8358
2008-10-10,13.5341
2008-10-13,14.679
2008-10-14,14.2938
2008-10-15,13.4324
2008-10-16,14.0199
2008-10-17,14.0295
2008-10-20,14.4688
2008-10-21,14.2438
2008-10-22,13.7057
2008-10-23,13.7835
2008-10-24,13.3051
2008-10-27,13.0153
2008-10-28,14.2176
2008-10-29,13.9318
2008-10-30,14.2761
2008-10-31,14.4136
2008-11-03,14.4233
2008-11-04,14.7557
2008-11-05,14.2977
2008-11-06,13.9432
2008-11-07,14.2369
2008-11-10,14.2267
2008-11-11,14.0131
2008-11-12,13.5517
2008-11-13,14.1551
2008-11-14,13.746
2008-11-17,13.5716
2008-11-18,13.7597
2008-11-19,13.3017
2008-11-20,12.7977
2008-11-21,13.4761
2008-11-24,13.8426
2008-11-25,13.7472
2008-11-26,13.9415
2008-11-27,13.9415
2008-11-28,14.1233
2008-12-01,13.3426
2008-12-02,13.5091
2008-12-03,13.7335
2008-12-04,13.5176
2008-12-05,13.9665
2008-12-08,13.9784
2008-12-09,13.6034
2008-12-10,13.6733
2008-12-11,13.5312
2008-12-12,13.5466
2008-12-15,13.5438
2008-12-16,13.8494
2008-12-17,13.7602
2008-12-18,13.8
2008-12-19,13.7534
2008-12-22,13.7398
2008-12-23,13.5881
2008-12-24,13.7074
2008-12-25,13.7074
2008-12-26,13.7381
2008-12-29,13.7062
2008-12-30,13.8994
2008-12-31,14.0148
2009-01-01,13.4346
2009-01-02,13.6699
2009-01-05,13.6367
2009-01-06,13.4946
2009-01-07,13.3404
2009-01-08,13.1732
2009-01-09,13.0044
2009-01-12,12.9434
2009-01-13,13.0425
2009-01-14,12.7462
2009-01-15,12.7892
2009-01-16,12.9401
2009-01-19,12.9401
2009-01-20,12.7429
2009-01-21,12.7881
2009-01-22,12.7723
2009-01-23,12.658
2009-01-26,12.7511
2009-01-27,12.8045
2009-01-28,12.939
2009-01-29,12.817
2009-01-30,12.4052
2009-02-02,12.3279
2009-02-03,12.604
2009-02-04,12.2751
2009-02-05,12.4553
2009-02-06,12.6623
2009-02-09,12.4973
2009-02-10,12.0926
2009-02-11,12.1716
2009-02-12,12.3219
2009-02-13,12.1776
2009-02-16,12.1776
2009-02-17,11.9646
2009-02-18,12.0501
2009-02-19,12.1759
2009-02-20,11.9989
2009-02-23,11.7086
2009-02-24,11.9286
2009-02-25,11.8214
2009-02-26,11.5452
2009-02-27,11.5071
2009-03-02,11.2059
2009-03-03,11.1187
2009-03-04,11.2952
2009-03-05,11.006
2009-03-06,11.0812
2009-03-09,10.8824
2009-03-10,11.152
2009-03-11,11.0975
2009-03-12,11.3883
2009-03-13,11.5871
2009-03-16,11.6885
2009-03-17,11.8916
2009-03-18,11.8301
2009-03-19,11.6737
2009-03-20,11.6863
2009-03-23,12.1269
2009-03-24,12.0675
2009-03-25,12.2097
2009-03-26,12.3219
2009-03-27,12.2097
2009-03-30,11.9417
2009-03-31,11.9156
2009-04-01,11.8147
2009-04-02,12.0372
2009-04-03,12.0207
2009-04-06,12.0191
2009-04-07,11.8428
2009-04-08,11.9485
2009-04-09,11.9458
2009-04-10,11.9458
2009-04-13,11.8895
2009-04-14,11.7313
2009-04-15,11.9225
2009-04-16,12.0722
2009-04-17,12.1041
2009-04-20,11.8933
2009-04-21,11.9421
2009-04-22,11.7791
2009-04-23,11.7578
2009-04-24,11.7706
2009-04-27,11.7839
2009-04-28,11.8317
2009-04-29,12.0117
2009-04-30,11.9708
2009-05-01,12.0255
2009-05-04,12.2098
2009-05-05,12.1264
2009-05-06,12.1954
2009-05-07,12.2496
2009-05-08,12.3452
2009-05-11,12.2623
2009-05-12,12.4259
2009-05-13,12.2947
2009-05-14,12.334
2009-05-15,12.2687
2009-05-18,12.5035
2009-05-19,12.5119
2009-05-20,12.5666
2009-05-21,12.4689
2009-05-22,12.5242
2009-05-25,12.5242
2009-05-26,12.6367
2009-05-27,12.3856
2009-05-28,12.5199
2009-05-29,12.6267
2009-06-01,12.8906
2009-06-02,13.0319
2009-06-03,12.958
2009-06-04,12.9703
2009-06-05,12.9278
2009-06-08,12.9357
2009-06-09,12.8497
2009-06-10,12.7499
2009-06-11,12.735
2009-06-12,12.8072
2009-06-15,12.5417
2009-06-16,12.3999
2009-06-17,12.4567
2009-06-18,12.6968
2009-06-19,12.6107
2009-06-22,12.5098
2009-06-23,12.4695
2009-06-24,12.4944
2009-06-25,12.683
2009-06-26,12.6713
2009-06-29,12.7552
2009-06-30,12.649
2009-07-01,12.7355
2009-07-02,12.5216
2009-07-03,12.5216
2009-07-06,12.7108
2009-07-07,12.5789
2009-07-08,12.613
2009-07-09,12.5394
2009-07-10,12.479
2009-07-13,12.6677
2009-07-14,12.7182
2009-07-15,12.9564
2009-07-16,13
2009-07-17,13.0321
2009-07-20,13.0542
2009-07-21,13.0447
2009-07-22,13.0095
2009-07-23,13.1609
2009-07-24,13.2592
2009-07-27,13.256
2009-07-28,13.2471
2009-07-29,13.3002
2009-07-30,13.3286
2009-07-31,13.2939
2009-08-03,13.3018
2009-08-04,13.3449
2009-08-05,13.2119
2009-08-06,13.0978
2009-08-07,13.1562
2009-08-10,13.1798
2009-08-11,13.143
2009-08-12,13.142
2009-08-13,13.1893
2009-08-14,13.1756
2009-08-17,13.0584
2009-08-18,13.1041
2009-08-19,13.1845
2009-08-20,13.2603
2009-08-21,13.4048
2009-08-24,13.3864
2009-08-25,13.4064
2009-08-26,13.4548
2009-08-27,13.4274
2009-08-28,13.3559
2009-08-31,13.4012
2009-09-01,13.2576
2009-09-02,13.2781
2009-09-03,13.336
2009-09-04,13.4311
2009-09-07,13.4311
2009-09-08,13.5442
2009-09-09,13.5336
2009-09-10,13.6246
2009-09-11,13.6556
2009-09-14,13.6551
2009-09-15,13.572
2009-09-16,13.6604
2009-09-17,13.6551
2009-09-18,13.8102
2009-09-21,13.7907
2009-09-22,13.7902
2009-09-23,13.786
2009-09-24,13.7256
2009-09-25,13.6924
2009-09-28,13.7545
2009-09-29,13.8144
2009-09-30,13.8375
2009-10-01,13.6146
2009-10-02,13.6903
2009-10-05,13.717
2009-10-06,13.8345
2009-10-07,13.8809
2009-10-08,13.9603
2009-10-09,13.9906
2009-10-12,14.012
2009-10-13,13.9802
2009-10-14,14.0522
2009-10-15,14.1697
2009-10-16,14.2245
2009-10-19,14.3003
2009-10-20,14.2757
2009-10-21,14.1535
2009-10-22,14.1791
2009-10-23,14.0245
2009-10-26,13.9159
2009-10-27,13.941
2009-10-28,13.8872
2009-10-29,14.1342
2009-10-30,13.8872
2009-11-02,14.0319
2009-11-03,13.9394
2009-11-04,14.0021
2009-11-05,14.0836
2009-11-06,14.1316
2009-11-09,14.3389
2009-11-10,14.3457
2009-11-11,14.3838
2009-11-12,14.3065
2009-11-13,14.4042
2009-11-16,14.5081
2009-11-17,14.5321
2009-11-18,14.5305
2009-11-19,14.4825
2009-11-20,14.4893
2009-11-23,14.636
2009-11-24,14.6433
2009-11-25,14.6444
2009-11-26,14.6444
2009-11-27,14.4893
2009-11-30,14.4183
2009-12-01,14.6099
2009-12-02,14.6078
2009-12-03,14.4961
2009-12-04,14.5619
2009-12-07,14.5791
2009-12-08,14.412
2009-12-09,14.4131
2009-12-10,14.4783
2009-12-11,14.53
2009-12-14,14.5796
2009-12-15,14.5159
2009-12-16,14.4611
2009-12-17,14.2747
2009-12-18,14.2324
2009-12-21,14.342
2009-12-22,14.4042
2009-12-23,14.4214
2009-12-24,14.4648
2009-12-25,14.4648
2009-12-28,14.4851
2009-12-29,14.4997
2009-12-30,14.4883
2009-12-31,14.3238
2010-01-01,14.1028
2010-01-04,14.2416
2010-01-05,14.2262
2010-01-06,14.2082
2010-01-07,14.2046
2010-01-08,14.1321
2010-01-11,14.1892
2010-01-12,14.2648
2010-01-13,14.3604
2010-01-14,14.3527
2010-01-15,14.2591
2010-01-18,14.2591
2010-01-19,14.3496
2010-01-20,14.2077
2010-01-21,13.9954
2010-01-22,13.9486
2010-01-25,13.9769
2010-01-26,13.9774
2010-01-27,13.9938
2010-01-28,13.9589
2010-01-29,13.927
2010-02-01,14.0386
2010-02-02,14.2195
2010-02-03,14.1465
2010-02-04,13.817
2010-02-05,13.8057
2010-02-08,13.7604
2010-02-09,13.9512
2010-02-10,13.927
2010-02-11,14.0494
2010-02-12,14.0159
2010-02-15,14.0159
2010-02-16,14.1846
2010-02-17,14.2884
2010-02-18,14.3892
2010-02-19,14.4015
2010-02-22,14.3794
2010-02-23,14.2982
2010-02-24,14.4
2010-02-25,14.3794
2010-02-26,14.3028
2010-03-01,14.3985
2010-03-02,14.454
2010-03-03,14.472
2010-03-04,14.5332
2010-03-05,14.6072
2010-03-08,14.5537
2010-03-09,14.5285
2010-03-10,14.4982
2010-03-11,14.5054
2010-03-12,14.5111
2010-03-15,14.6334
2010-03-16,14.6889
2010-03-17,14.762
2010-03-18,14.7584
2010-03-19,14.7465
2010-03-22,14.8031
2010-03-23,14.926
2010-03-24,14.7758
2010-03-25,14.7815
2010-03-26,14.7985
2010-03-29,14.874
2010-03-30,14.89
2010-03-31,14.8139
2010-04-01,14.479
2010-04-02,14.479
2010-04-05,14.4685
2010-04-06,14.421
2010-04-07,14.3425
2010-04-08,14.342
2010-04-09,14.4315
2010-04-12,14.446
2010-04-13,14.443
2010-04-14,14.445
2010-04-15,14.408
2010-04-16,14.3655
2010-04-19,14.423
2010-04-20,14.436
2010-04-21,14.447
2010-04-22,14.409
2010-04-23,14.391
2010-04-26,14.357
2010-04-27,14.117
2010-04-28,14.1975
2010-04-29,14.256
2010-04-30,14.182
2010-05-03,14.2595
2010-05-04,14.1235
2010-05-05,14.1705
2010-05-06,13.834
2010-05-07,13.762
2010-05-10,14.1455
2010-05-11,14.133
2010-05-12,14.2225
2010-05-13,14.1565
2010-05-14,14.029
2010-05-17,14.1515
2010-05-18,14.086
2010-05-19,14.059
2010-05-20,13.608
2010-05-21,13.6615
2010-05-24,13.557
2010-05-25,13.428
2010-05-26,13.3095
2010-05-27,13.5685
2010-05-28,13.5105
2010-05-31,13.5105
2010-06-01,13.4855
2010-06-02,13.7135
2010-06-03,13.7275
2010-06-04,13.3755
2010-06-07,13.2835
2010-06-08,13.4785
2010-06-09,13.4575
2010-06-10,13.6635
2010-06-11,13.56
2010-06-14,13.6105
2010-06-15,13.762
2010-06-16,13.6905
2010-06-17,13.7855
2010-06-18,13.7625
2010-06-21,13.7185
2010-06-22,13.576
2010-06-23,13.6125
2010-06-24,13.49
2010-06-25,13.282
2010-06-28,13.433
2010-06-29,13.2325
2010-06-30,13.132
2010-07-01,12.7867
2010-07-02,12.7502
2010-07-05,12.7502
2010-07-06,12.8173
2010-07-07,13.0675
2010-07-08,13.2604
2010-07-09,13.2634
2010-07-12,13.3027
2010-07-13,13.4033
2010-07-14,13.4291
2010-07-15,13.4538
2010-07-16,13.277
2010-07-19,13.2799
2010-07-20,13.4757
2010-07-21,13.3455
2010-07-22,13.4621
2010-07-23,13.5923
2010-07-26,13.6521
2010-07-27,13.7065
2010-07-28,13.6336
2010-07-29,13.4845
2010-07-30,13.5068
2010-08-02,13.6647
2010-08-03,13.5705
2010-08-04,13.6059
2010-08-05,13.5549
2010-08-06,13.5918
2010-08-09,13.6628
