date,S&P 500,Information Technology,Communication Services,Consumer Discretionary,Financials,Industrials,Utilities,Energy,Real Estate,Materials,Consumer Staples,Health Care
1999-07-01,,,,,16.7906,,,,,,,
1999-07-02,,,,,16.9558,,,,,,,
1999-07-05,,,,,16.9558,,,,,,,
1999-07-06,,,,,16.9696,,,,,,,
1999-07-07,,,,,16.9672,,,,,,,
1999-07-08,,,,,16.8291,,,,,,,
1999-07-09,,,,,16.933,,,,,,,
1999-07-12,,,,,16.7977,,,,,,,
1999-07-13,,,,,16.6339,,,,,,,
1999-07-14,,,,,16.5446,,,,,,,
1999-07-15,,,,,16.7132,,,,,,,
1999-07-16,,,,,16.8708,,,,,,,
1999-07-19,,,,,16.7616,,,,,,,
1999-07-20,,,,,16.4967,,,,,,,
1999-07-21,,,,,16.321,,,,,,,
1999-07-22,,,,,16.3837,,,,,,,
1999-07-23,,,,,16.1833,,,,,,,
1999-07-26,,,,,16.2479,,,,,,,
1999-07-27,,,,,16.3813,,,,,,,
1999-07-28,,,,,16.3186,,,,,,,
1999-07-29,,,,,16.0185,,,,,,,
1999-07-30,,,,,15.6434,,,,,,,
1999-08-02,,,,,15.6135,,,,,,,
1999-08-03,,,,,15.4022,,,,,,,
1999-08-04,,,,,15.1401,,,,,,,
1999-08-05,,,,,15.2142,,,,,,,
1999-08-06,,,,,14.7911,,,,,,,
1999-08-09,,,,,14.8704,,,,,,,
1999-08-10,,,,,14.6301,,,,,,,
1999-08-11,,,,,14.9202,,,,,,,
1999-08-12,,,,,14.8837,,,,,,,
1999-08-13,,,,,15.444,,,,,,,
1999-08-16,,,,,15.4497,,,,,,,
1999-08-17,,,,,15.9245,,,,,,,
1999-08-18,,,,,15.8272,,,,,,,
1999-08-19,,,,,15.5992,,,,,,,
1999-08-20,,,,,15.802,,,,,,,
1999-08-23,,,,,16.1752,,,,,,,
1999-08-24,,,,,16.2374,,,,,,,
1999-08-25,,,,,16.0912,,,,,,,
1999-08-26,,,,,15.7934,,,,,,,
1999-08-27,,,,,15.5627,,,,,,,
1999-08-30,,,,,14.9497,,,,,,,
1999-08-31,,,,,14.9079,,,,,,,
1999-09-01,,,,,15.0399,,,,,,,
1999-09-02,,,,,14.7911,,,,,,,
1999-09-03,,,,,15.4264,,,,,,,
1999-09-06,,,,,15.4264,,,,,,,
1999-09-07,,,,,15.0973,,,,,,,
1999-09-08,,,,,14.9725,,,,,,,
1999-09-09,,,,,14.7802,,,,,,,
1999-09-10,,,,,14.8632,,,,,,,
1999-09-13,,,,,14.7792,,,,,,,
1999-09-14,,,,,14.5123,,,,,,,
1999-09-15,,,,,14.4231,,,,,,,
1999-09-16,,,,,14.3694,,,,,,,
1999-09-17,,,,,14.5845,,,,,,,
1999-09-20,,,,,14.5385,,,,,,,
1999-09-21,,,,,14.2113,,,,,,,
1999-09-22,,,,,14.1956,,,,,,,
1999-09-23,,,,,14.1054,,,,,,,
1999-09-24,,,,,14.1838,,,,,,,
1999-09-27,,,,,13.9444,,,,,,,
1999-09-28,,,,,13.9853,,,,,,,
1999-09-29,,,,,13.8704,,,,,,,
1999-09-30,,,,,14.1092,,,,,,,
1999-10-01,,,,,13.5203,,,,,,,
1999-10-04,,,,,13.9502,,,,,,,
1999-10-05,,,,,14.0161,,,,,,,
1999-10-06,,,,,14.3627,,,,,,,
1999-10-07,,,,,14.2065,,,,,,,
1999-10-08,,,,,14.4903,,,,,,,
1999-10-11,,,,,14.2968,,,,,,,
1999-10-12,,,,,14.0622,,,,,,,
1999-10-13,,,,,13.6166,,,,,,,
1999-10-14,,,,,13.5567,,,,,,,
1999-10-15,,,,,13.0152,,,,,,,
1999-10-18,,,,,13.3037,,,,,,,
1999-10-19,,,,,13.6387,,,,,,,
1999-10-20,,,,,13.8959,,,,,,,
1999-10-21,,,,,13.9217,,,,,,,
1999-10-22,,,,,14.5461,,,,,,,
1999-10-25,,,,,14.359,,,,,,,
1999-10-26,,,,,14.2507,,,,,,,
1999-10-27,,,,,14.9346,,,,,,,
1999-10-28,,,,,15.9336,,,,,,,
1999-10-29,,,,,15.9525,,,,,,,
1999-11-01,,,,,15.7101,,,,,,,
1999-11-02,,,,,15.7387,,,,,,,
