date,value
1993-08-13,57.9992
1993-08-16,60.3682
1993-08-17,60.603
1993-08-18,65.978
1993-08-19,65.7071
1993-08-20,65.3759
1993-08-23,62.6442
1993-08-24,70.1173
1993-08-25,70.5586
1993-08-26,70.2852
1993-08-27,69.9508
1993-08-30,70.2536
1993-08-31,72.3562
1993-09-01,71.2422
1993-09-02,67.911
1993-09-03,66.8518
1993-09-07,59.6128
1993-09-08,55.2785
1993-09-09,57.1107
1993-09-10,64.188
1993-09-13,65.5011
1993-09-14,61.3945
1993-09-15,62.7407
1993-09-16,58.9565
1993-09-17,58.2322
1993-09-20,50.5565
1993-09-21,44.5824
1993-09-22,50.4656
1993-09-23,52.2668
1993-09-24,52.1455
1993-09-27,58.3003
1993-09-28,58.6697
1993-09-29,55.3677
1993-09-30,49.2306
1993-10-01,53.611
1993-10-04,53.9904
1993-10-05,53.6122
1993-10-06,52.3543
1993-10-07,49.0694
1993-10-08,51.1029
1993-10-11,50.6513
1993-10-12,50.6481
1993-10-13,51.0153
1993-10-14,59.5879
1993-10-15,63.3382
1993-10-18,58.8888
1993-10-19,55.1613
1993-10-20,54.5322
1993-10-21,51.5533
1993-10-22,48.7804
1993-10-25,50.6463
1993-10-26,50.4683
1993-10-27,50.6956
1993-10-28,55.3276
1993-10-29,56.2765
1993-11-01,56.887
1993-11-02,54.8117
1993-11-03,46.626
1993-11-04,38.8931
1993-11-05,40.6958
1993-11-08,42.4028
1993-11-09,42.8289
1993-11-10,49.4376
1993-11-11,46.8151
1993-11-12,51.3124
1993-11-15,48.8795
1993-11-16,52.4645
1993-11-17,49.3775
1993-11-18,47.5989
1993-11-19,45.8312
1993-11-22,40.4359
1993-11-23,42.9077
1993-11-24,45.4528
1993-11-26,48.3461
1993-11-29,45.8639
1993-11-30,45.7841
1993-12-01,45.5442
1993-12-02,48.4313
1993-12-03,50.6977
1993-12-06,53.9927
1993-12-07,54.9375
1993-12-08,53.9487
1993-12-09,50.6694
1993-12-10,49.8376
1993-12-13,51.8005
1993-12-14,46.501
1993-12-15,44.2018
1993-12-16,47.7535
1993-12-17,57.051
1993-12-20,54.7769
1993-12-21,51.9276
1993-12-22,55.0296
1993-12-23,56.0431
1993-12-27,61.8451
1993-12-28,63.5733
1993-12-29,63.5336
1993-12-30,59.6334
1993-12-31,56.4245
1994-01-03,54.713
1994-01-04,58.9744
1994-01-05,58.9166
1994-01-06,56.3281
1994-01-07,62.877
1994-01-10,70.2164
1994-01-11,67.5555
1994-01-12,67.7771
1994-01-13,64.5014
1994-01-14,66.6396
1994-01-17,64.6421
1994-01-18,64.1293
1994-01-19,64.7424
1994-01-20,65.9024
1994-01-21,63.8121
1994-01-24,58.4597
1994-01-25,57.0345
1994-01-26,60.615
1994-01-27,63.9768
1994-01-28,66.1905
1994-01-31,71.0101
1994-02-01,67.066
1994-02-02,69.3021
1994-02-03,67.0831
1994-02-04,48.6904
1994-02-07,51.1243
1994-02-08,50.5221
1994-02-09,52.8185
1994-02-10,47.6272
1994-02-11,48.7337
1994-02-14,48.2427
1994-02-15,51.7596
1994-02-16,47.0925
1994-02-17,43.5695
1994-02-18,39.4516
1994-02-22,49.8348
1994-02-23,49.3218
1994-02-24,37.9125
1994-02-25,41.4872
1994-02-28,44.766
1994-03-01,39.8281
1994-03-02,38.3722
1994-03-03,34.7423
1994-03-04,39.8309
1994-03-07,43.8164
1994-03-08,42.7731
1994-03-09,43.8844
1994-03-10,40.0316
1994-03-11,43.7649
1994-03-14,46.0615
1994-03-15,45.5792
1994-03-16,48.9475
1994-03-17,53.2185
1994-03-18,54.6692
