date,above_50d,above_200d
2006-01-03,76.4100,76.3600
2006-01-04,80.0000,77.3300
2006-01-05,80.2400,76.9700
2006-01-06,85.6900,80.8100
2006-01-09,85.2800,81.2100
2006-01-10,84.2700,79.3900
2006-01-11,82.4600,79.8000
2006-01-12,77.8200,78.9900
2006-01-13,77.0200,78.3800
2006-01-17,70.4200,77.5800
2006-01-18,71.6300,77.1700
2006-01-19,71.6300,78.3800
2006-01-20,57.7500,72.7300
2006-01-23,58.9500,71.9200
2006-01-24,60.9700,74.3400
2006-01-25,58.9500,73.5400
2006-01-26,62.7800,73.5400
2006-01-27,64.9900,74.5500
2006-01-30,65.1900,74.5500
2006-01-31,61.3700,72.7300
2006-02-01,61.7700,73.9400
2006-02-02,56.5400,70.9100
2006-02-03,51.7100,68.6900
2006-02-06,52.7200,67.6800
2006-02-07,45.8800,65.8600
2006-02-08,52.5200,69.9000
2006-02-09,52.1100,68.4800
2006-02-10,53.3200,69.2900
2006-02-13,49.9000,67.0700
2006-02-14,59.5600,70.5100
2006-02-15,62.0500,72.9300
2006-02-16,68.0700,75.5600
2006-02-17,69.0800,74.7500
2006-02-21,62.6500,73.7400
2006-02-22,71.0800,77.7800
2006-02-23,66.6700,75.1500
2006-02-24,66.4700,75.3500
2006-02-27,69.8800,76.1600
2006-02-28,63.0500,71.5200
2006-03-01,69.2800,75.3500
2006-03-02,67.4700,73.5400
2006-03-03,65.3300,72.1200
2006-03-06,56.9100,69.2900
2006-03-07,54.2200,69.2300
2006-03-08,56.0200,68.8300
2006-03-09,53.1100,66.2600
2006-03-10,59.3200,69.2900
2006-03-13,59.5200,69.0900
2006-03-14,67.3300,73.9400
2006-03-15,70.5400,75.1500
2006-03-16,72.5500,76.5700
2006-03-17,72.5500,76.3600
2006-03-20,70.3400,74.9500
2006-03-21,65.5300,73.9400
2006-03-22,69.9400,75.7600
2006-03-23,66.3300,74.9500
2006-03-24,66.9300,75.3500
2006-03-27,66.9300,75.1500
2006-03-28,61.9200,73.1300
2006-03-29,66.7300,75.9600
2006-03-30,65.9300,74.7500
2006-03-31,63.1300,73.1300
2006-04-03,62.1200,73.3300
2006-04-04,65.1300,75.5600
2006-04-05,68.3400,77.1700
2006-04-06,66.7300,75.3500
2006-04-07,58.5200,71.7200
2006-04-10,58.1200,71.5200
2006-04-11,51.1000,68.6900
2006-04-12,50.1000,67.6800
2006-04-13,50.3000,68.6900
2006-04-17,47.0900,67.8800
2006-04-18,61.3200,72.7300
2006-04-19,61.7200,70.9100
2006-04-20,65.5300,73.7400
2006-04-21,60.9200,72.7300
2006-04-24,59.5200,71.9200
2006-04-25,56.3100,70.9100
2006-04-26,57.5200,70.5100
2006-04-27,60.9200,71.3100
2006-04-28,59.5200,70.5100
2006-05-01,57.9200,68.0800
2006-05-02,58.5200,69.7000
2006-05-03,59.3200,69.7000
2006-05-04,62.3200,71.7200
2006-05-05,66.5300,73.7400
2006-05-08,66.9300,73.7400
2006-05-09,66.3300,74.1400
2006-05-10,66.3300,73.9400
2006-05-11,55.9100,69.4900
2006-05-12,47.0900,66.2600
2006-05-15,48.9000,67.2700
2006-05-16,42.8900,66.6700
2006-05-17,32.0600,60.4000
2006-05-18,27.5100,58.5000
2006-05-19,30.5200,60.5300
2006-05-22,27.9100,59.7200
2006-05-23,24.3000,56.2800
2006-05-24,25.9000,56.4800
2006-05-25,32.5300,60.9300
2006-05-26,37.7500,63.7700
2006-05-30,25.7000,56.8800
2006-05-31,34.7400,61.7400
2006-06-01,43.7800,65.3800
2006-06-02,45.7800,65.7900
2006-06-05,29.7200,58.5000
2006-06-06,30.7200,58.7000
2006-06-07,30.9200,55.2600
2006-06-08,32.3300,56.8800
2006-06-09,30.3200,54.6600
2006-06-12,24.5000,48.7900
2006-06-13,19.8800,44.5300
2006-06-14,20.0800,44.7400
2006-06-15,29.9200,55.0600
2006-06-16,29.1200,53.8500
2006-06-19,24.1000,50.2000
2006-06-20,23.2900,49.8000
2006-06-21,29.1200,53.4400
2006-06-22,25.7000,52.2300
2006-06-23,25.1000,52.2300
2006-06-26,29.5200,53.6400
2006-06-27,24.3000,49.6000
2006-06-28,27.7100,51.6200
2006-06-29,45.7800,58.3000
2006-06-30,48.8000,58.1800
2006-07-03,53.2100,61.0100
2006-07-05,45.5800,58.3800
2006-07-06,47.1900,58.3800
2006-07-07,43.3700,55.9600
2006-07-10,45.1800,54.9500
2006-07-11,49.6000,57.1700
2006-07-12,42.1700,53.5400
2006-07-13,31.1200,47.4700
2006-07-14,29.0600,46.6700
2006-07-17,30.8600,45.8600
2006-07-18,30.2600,46.0600
2006-07-19,46.0900,52.5300
2006-07-20,39.0800,48.8900
2006-07-21,36.6700,45.4500
2006-07-24,42.6900,50.5100
2006-07-25,48.5000,52.9300
2006-07-26,51.5000,52.3200
2006-07-27,49.1000,50.1000
2006-07-28,54.9100,54.9500
2006-07-31,54.5100,54.7500
2006-08-01,51.9100,53.1400
2006-08-02,54.7300,55.3800
2006-08-03,57.7500,55.3800
2006-08-04,57.7500,55.1700
2006-08-07,56.7400,53.9600
2006-08-08,54.1200,52.9400
2006-08-09,52.3100,51.5200
2006-08-10,55.1300,52.7400
2006-08-11,51.1100,50.9100
2006-08-14,52.5200,50.5100
2006-08-15,61.3700,54.7700
2006-08-16,70.0200,58.0100
2006-08-17,72.2300,57.4000
2006-08-18,73.0400,58.6200
2006-08-21,68.2100,56.6800
2006-08-22,69.2200,56.4800
2006-08-23,65.5900,55.4700
2006-08-24,64.3900,56.0700
2006-08-25,63.9800,54.4500
2006-08-28,67.2000,55.6700
2006-08-29,70.2200,55.8700
2006-08-30,71.8300,55.2600
2006-08-31,72.6400,57.2900
2006-09-01,77.2600,59.1100
2006-09-05,78.8700,60.3200
2006-09-06,72.0300,57.0900
2006-09-07,67.2000,54.4500
2006-09-08,69.4200,56.0700
2006-09-11,69.0100,56.8800
2006-09-12,76.0600,61.3400
2006-09-13,79.0700,63.9700
2006-09-14,78.6700,63.1600
2006-09-15,79.2800,64.1700
2006-09-18,78.4700,64.3700
2006-09-19,77.4600,62.9600
2006-09-20,81.0900,64.8500
2006-09-21,76.8600,63.0300
2006-09-22,73.6400,62.2200
2006-09-25,77.8700,64.8500
2006-09-26,80.0800,67.2700
2006-09-27,81.1600,67.2700
2006-09-28,81.7600,68.4800
2006-09-29,79.5600,67.6800
2006-10-02,76.5100,65.9900
2006-10-03,75.9000,66.6000
2006-10-04,81.3300,70.8500
2006-10-05,81.5300,71.7200
2006-10-06,80.5200,70.1000
2006-10-09,80.9200,70.9100
