date,trailing_pe
2003-06-09,32.21208
2003-06-10,32.505041
2003-06-11,32.922943
2003-06-12,32.957718
2003-06-13,32.626976
2003-06-16,33.357447
2003-06-17,33.407636
2003-06-18,33.417466
2003-06-19,33.266049
2003-06-20,33.299124
2003-06-23,32.970303
2003-06-24,33.023963
2003-06-25,32.745069
2003-06-26,33.096773
2003-06-27,32.767448
2003-06-30,32.71465
2003-07-01,32.98337
2003-07-02,33.357991
2003-07-03,33.086126
2003-07-07,33.709011
2003-07-08,33.821488
2003-07-09,33.622923
2003-07-10,33.196632
2003-07-11,33.590276
2003-07-14,33.7039
2003-07-15,33.091682
2003-07-16,32.601374
2003-07-17,32.034479
2003-07-18,32.417647
2003-07-21,31.802223
2003-07-22,32.08664
2003-07-23,31.022322
2003-07-24,29.243885
2003-07-25,30.507033
2003-07-28,30.431202
2003-07-29,29.705706
2003-07-30,29.5219
2003-07-31,29.314696
2003-08-01,28.89176
2003-08-04,28.901328
2003-08-05,28.389385
2003-08-06,28.330927
2003-08-07,28.574775
2003-08-08,28.687017
2003-08-11,28.76823
2003-08-12,30.304476
2003-08-13,30.077907
2003-08-14,30.243316
2003-08-15,30.262805
2003-08-18,30.663484
2003-08-19,30.499989
2003-08-20,30.274456
2003-08-21,30.33868
2003-08-22,30.020498
2003-08-25,30.045
2003-08-26,30.133135
2003-08-27,30.141752
2003-08-28,30.332976
2003-08-29,30.480621
2003-09-02,30.897789
2003-09-03,30.908753
2003-09-04,30.973996
2003-09-05,30.772813
2003-09-08,31.085494
2003-09-09,30.839555
2003-09-10,30.488761
2003-09-11,30.649405
2003-09-12,30.714013
2003-09-15,30.592901
2003-09-16,31.032802
2003-09-17,30.954324
2003-09-18,31.336884
2003-09-19,31.24006
2003-09-22,30.872186
2003-09-23,30.94539
2003-09-24,30.32281
2003-09-25,29.890668
2003-09-26,29.700783
2003-09-29,30.095989
2003-09-30,29.770133
2003-10-01,30.420923
2003-10-02,30.490042
2003-10-03,30.775711
2003-10-06,30.904819
2003-10-07,31.033253
2003-10-08,30.875931
2003-10-09,31.028774
2003-10-10,31.001701
2003-10-13,31.211795
2003-10-14,31.072373
2003-10-15,30.862351
2003-10-16,31.009023
2003-10-17,30.697873
2003-10-20,30.791801
