date,trailing_pe
1995-02-01,11.5047
1995-03-01,11.5047
1995-04-01,11.5994
1995-05-01,11.5994
1995-06-01,12.1983
1995-07-01,12.7332
1995-08-01,13.2779
1995-09-01,13.2779
1995-10-01,13.1314
1995-11-01,13.1314
1995-12-01,13.5821
1996-01-01,14.0777
1996-02-01,14.0777
1996-03-01,15.4436
1996-04-01,15.4436
1996-05-01,15.4436
1996-06-01,15.6391
1996-07-01,14.7655
1996-08-01,14.4867
1996-09-01,14.4867
1996-10-01,15.0127
1996-11-01,15.0127
1996-12-01,14.8888
1997-01-01,15.1104
1997-02-01,15.1104
1997-03-01,15.362
1997-04-01,15.362
1997-05-01,15.8622
1997-06-01,16.4924
1997-07-01,16.4924
1997-08-01,16.9562
1997-09-01,17.5249
1997-10-01,17.5249
1997-11-01,17.643
1997-12-01,18.0679
1998-01-01,22.2068
1998-02-01,19.8606
1998-03-01,20.4422
1998-04-01,21.087
1998-05-01,21.087
1998-06-01,21.4137
1998-07-01,22.8346
1998-08-01,21.032
1998-09-01,20.2489
1998-10-01,18.4365
1998-11-01,21.4839
1998-12-01,22.9007
1999-01-01,23.8301
1999-02-01,24.809
1999-03-01,24.809
1999-04-01,25.8592
1999-05-01,24.5832
1999-06-01,24.5832
1999-07-01,24.2721
1999-08-01,23.453
1999-09-01,22.3968
1999-10-01,23.1795
1999-11-01,23.8425
1999-12-01,24.4868
2000-01-01,23.1287
2000-02-01,21.7656
2000-03-01,21.7656
2000-04-01,22.7933
2000-05-01,22.1262
2000-06-01,21.6285
2000-07-01,21.6285
2000-08-01,20.9696
2000-09-01,21.138
2000-10-01,18.8907
2000-11-01,20.4347
2000-12-01,23.3964
2001-01-01,25.6796
2001-02-01,25.0431
2001-03-01,22.9106
2001-04-01,25.6021
2001-05-01,26.224
2001-06-01,26.224
2001-07-01,25.3976
2001-08-01,24.809
2001-09-01,20.4223
2001-10-01,26.2118
2001-11-01,27.7521
2001-12-01,28.2465
2002-01-01,27.1841
2002-02-01,25.9863
2002-03-01,24.6851
2002-04-01,23.9664
2002-05-01,22.0333
2002-06-01,19.6169
2002-07-01,18.3095
2002-08-01,17.5529
2002-09-01,17.5815
2002-10-01,17.5815
2002-11-01,17.5429
2002-12-01,17.5429
2003-01-01,18.4954
2003-02-01,17.109
2003-03-01,17.8944
2003-04-01,18.514
2003-05-01,18.8822
2003-06-01,19.5865
2003-07-01,19.5865
2003-08-01,19.5865
2003-09-01,19.4378
2003-10-01,19.5514
2003-11-01,19.5514
2003-12-01,19.3412
2004-01-01,19.7367
2004-02-01,19.7367
2004-03-01,18.9898
2004-04-01,17.8746
2004-05-01,17.8746
2004-06-01,17.2604
2004-07-01,17.2604
2004-08-01,16.6871
2004-09-01,16.5671
2004-10-01,17.0063
2004-11-01,18.2372
2004-12-01,18.2372
2005-01-01,18.6602
2005-02-01,18.9056
2005-03-01,18.2067
2005-04-01,18.2067
2005-05-01,17.9237
2005-06-01,17.9237
2005-07-01,18.0431
2005-08-01,17.6652
2005-09-01,17.1344
2005-10-01,16.457
2005-11-01,16.2711
2005-12-01,16.2711
2006-01-01,16.6828
2006-02-01,16.6828
2006-03-01,16.5178
2006-04-01,16.289
2006-05-01,16.289
2006-06-01,15.5722
2006-07-01,15.5722
2006-08-01,15.275
2006-09-01,16.7395
2006-10-01,17.3775
2006-11-01,17.9963
2006-12-01,18.5667
2007-01-01,19.0345
2007-02-01,19.0345
2007-03-01,18.2885
2007-04-01,18.2885
2007-05-01,18.6537
