date,trailing_pe
1995-02-01,12.6702
1995-03-01,12.6702
1995-04-01,12.8901
1995-05-01,13.3307
1995-06-01,13.3307
1995-07-01,13.3307
1995-08-01,13.5449
1995-09-01,13.5449
1995-10-01,13.7201
1995-11-01,13.7525
1995-12-01,13.7525
1996-01-01,14.4188
1996-02-01,14.4188
1996-03-01,14.9506
1996-04-01,15.0227
1996-05-01,15.0227
1996-06-01,15.0873
1996-07-01,14.9105
1996-08-01,14.9105
1996-09-01,15.3872
1996-10-01,15.7476
1996-11-01,15.7476
1996-12-01,16.3681
1997-01-01,16.3681
1997-02-01,16.3681
1997-03-01,16.7437
1997-04-01,16.2958
1997-05-01,16.0195
1997-06-01,18.2851
1997-07-01,18.2851
1997-08-01,19.0454
1997-09-01,19.0454
1997-10-01,18.5019
1997-11-01,18.2641
1997-12-01,17.8856
1998-01-01,18.0289
1998-02-01,18.0289
1998-03-01,18.0289
1998-04-01,18.0289
1998-05-01,20.1575
1998-06-01,19.493
1998-07-01,19.0459
1998-08-01,18.5939
1998-09-01,18.5939
1998-10-01,17.1098
1998-11-01,16.7901
1998-12-01,18.6222
1999-01-01,18.6222
1999-02-01,19.6656
1999-03-01,19.6656
1999-04-01,20.5137
1999-05-01,20.9212
1999-06-01,21.4083
1999-07-01,21.4083
1999-08-01,22.0083
1999-09-01,20.8851
1999-10-01,20.5169
1999-11-01,20.7676
1999-12-01,21.0575
2000-01-01,21.0575
2000-02-01,20.4664
2000-03-01,19.9929
2000-04-01,19.2954
2000-05-01,20.4752
2000-06-01,20.8027
2000-07-01,19.971
2000-08-01,19.971
2000-09-01,20.7828
2000-10-01,21.1814
2000-11-01,20.0096
2000-12-01,21.2953
2001-01-01,21.2953
2001-02-01,20.9379
2001-03-01,20.5263
2001-04-01,18.8272
2001-05-01,20.7067
2001-06-01,22.3727
2001-07-01,21.3905
2001-08-01,20.5687
2001-09-01,19.6616
2001-10-01,17.0824
2001-11-01,20.4136
2001-12-01,20.9394
2002-01-01,21.239
2002-02-01,19.7619
2002-03-01,19.4939
2002-04-01,19.761
2002-05-01,18.7006
2002-06-01,17.883
2002-07-01,17.5363
2002-08-01,16.3571
2002-09-01,16.3571
2002-10-01,16.0982
2002-11-01,16.0982
2002-12-01,16.4189
2003-01-01,16.6641
2003-02-01,16.6641
2003-03-01,16.1424
2003-04-01,16.1424
2003-05-01,16.3845
2003-06-01,16.8566
2003-07-01,17.983
2003-08-01,17.7765
2003-09-01,17.7765
2003-10-01,18.4242
2003-11-01,18.4242
2003-12-01,19.0028
2004-01-01,19.4306
2004-02-01,19.7678
2004-03-01,19.7678
2004-04-01,18.6025
