date,trailing_pe
2003-06-12,36.707461
2003-06-13,36.262284
2003-06-16,36.985555
2003-06-17,36.834771
2003-06-18,36.95247
2003-06-19,38.076174
2003-06-20,38.078619
2003-06-23,37.858666
2003-06-24,37.576185
2003-06-25,37.546459
2003-06-26,37.828345
2003-06-27,37.448617
2003-06-30,37.524635
2003-07-01,37.324594
2003-07-02,37.552087
2003-07-03,37.253277
2003-07-07,37.328522
2003-07-08,37.055133
2003-07-09,36.687676
2003-07-10,35.979901
2003-07-11,36.262817
2003-07-14,36.193421
2003-07-15,35.714473
2003-07-16,35.083572
2003-07-17,35.161957
2003-07-18,35.754325
2003-07-21,35.134526
2003-07-22,35.775696
2003-07-23,36.532953
2003-07-24,36.441333
2003-07-25,36.69763
2003-07-28,37.197739
2003-07-29,36.513144
2003-07-30,35.648277
2003-07-31,36.465118
2003-08-01,34.550555
2003-08-04,34.552731
2003-08-05,37.268133
2003-08-06,37.869969
2003-08-07,38.252086
2003-08-08,38.450034
2003-08-11,38.887488
2003-08-12,36.545791
2003-08-13,35.355724
2003-08-14,35.502854
2003-08-15,36.072727
2003-08-18,35.852567
2003-08-19,37.306767
2003-08-20,37.746281
2003-08-21,37.849612
2003-08-22,37.409094
2003-08-25,37.627595
2003-08-26,37.749546
2003-08-27,37.747236
2003-08-28,37.775583
2003-08-29,37.912307
2003-09-02,38.532835
2003-09-03,38.775175
2003-09-04,38.777422
2003-09-05,38.664751
2003-09-08,39.028876
2003-09-09,38.714468
2003-09-10,38.794
2003-09-11,38.719668
2003-09-12,38.992368
2003-09-15,38.670483
2003-09-16,39.023098
2003-09-17,38.818076
2003-09-18,39.380849
2003-09-19,39.428041
2003-09-22,38.768614
2003-09-23,38.961216
2003-09-24,38.598527
2003-09-25,40.690774
2003-09-26,41.04154
2003-09-29,41.474615
2003-09-30,41.236693
2003-10-01,41.632226
2003-10-02,41.856532
2003-10-03,41.931016
2003-10-06,42.033765
2003-10-07,41.810738
2003-10-08,41.649556
2003-10-09,41.739879
2003-10-10,41.457794
2003-10-13,41.565736
2003-10-14,41.743879
2003-10-15,41.201888
2003-10-16,41.54725
2003-10-17,41.367715
2003-10-20,41.500647
2003-10-21,45.837354
2003-10-22,44.529226
2003-10-23,36.502312
2003-10-24,36.404644
2003-10-27,36.37089
2003-10-28,36.369212
2003-10-29,36.402496
2003-10-30,35.471493
2003-10-31,35.401551
2003-11-03,35.716485
2003-11-04,35.382708
2003-11-05,34.567471
2003-11-06,33.371047
2003-11-07,33.467535
2003-11-10,33.944732
2003-11-11,34.075984
2003-11-12,33.469588
2003-11-13,33.477143
2003-11-14,34.081757
2003-11-17,33.693354
2003-11-18,33.198116
2003-11-19,33.622888
2003-11-20,33.772614
2003-11-21,33.819196
2003-11-24,34.225402
2003-11-25,34.407958
2003-11-26,34.609217
2003-11-28,34.629185
2003-12-01,34.886981
2003-12-02,34.830953
2003-12-03,34.76787
2003-12-04,34.944683
2003-12-05,34.998861
2003-12-08,35.229358
2003-12-09,34.929909
2003-12-10,34.936152
2003-12-11,35.10755
2003-12-12,35.188728
2003-12-15,35.213194
2003-12-16,35.363488
2003-12-17,35.568334
2003-12-18,35.948712
2003-12-19,37.546213
2003-12-22,37.861552
2003-12-23,38.071866
2003-12-24,38.026639
2003-12-26,38.019002
2003-12-29,38.369582
2003-12-30,38.500581
2003-12-31,38.380823
2004-01-02,38.343097
2004-01-05,38.316945
2004-01-06,38.22305
2004-01-07,38.506802
2004-01-08,38.487943
2004-01-09,38.354825
2004-01-12,38.205693
2004-01-13,38.163658
2004-01-14,38.509928
2004-01-15,38.26503
2004-01-16,38.354821
2004-01-20,38.663915
2004-01-21,39.455639
2004-01-22,39.879461
2004-01-23,38.669097
2004-01-26,38.449418
2004-01-27,38.269422
2004-01-28,35.769276
2004-01-29,46.115491
2004-01-30,45.941024
2004-02-02,46.691026
2004-02-03,46.9444
2004-02-04,46.302613
2004-02-05,32.141886
2004-02-06,32.464758
2004-02-09,32.401086
2004-02-10,32.373234
2004-02-11,32.45855
2004-02-12,31.760627
2004-02-13,31.596449
2004-02-17,31.947569
2004-02-18,31.983424
2004-02-19,26.65263
2004-02-20,26.453243
2004-02-23,26.520081
2004-02-24,26.168312
2004-02-25,26.655699
2004-02-26,26.426013
2004-02-27,26.726011
2004-03-01,26.427363
2004-03-02,26.317792
2004-03-03,26.316267
2004-03-04,26.372123
2004-03-05,26.57036
2004-03-08,26.471766
2004-03-09,26.424804
2004-03-10,24.996735
2004-03-11,23.10849
2004-03-12,23.28375
2004-03-15,22.36489
2004-03-16,22.490022
2004-03-17,22.895887
2004-03-18,22.782946
2004-03-19,22.685755
2004-03-22,22.636449
2004-03-23,22.628501
2004-03-24,22.607172
2004-03-25,22.659669
2004-03-26,22.702016
2004-03-29,22.833111
2004-03-30,22.970363
2004-03-31,23.001564
2004-04-01,23.138858
2004-04-02,23.066317
2004-04-05,23.095219
2004-04-06,23.099848
2004-04-07,22.908866
2004-04-08,22.851445
2004-04-12,22.480083
2004-04-13,22.091328
2004-04-14,22.034085
2004-04-15,22.159602
2004-04-16,22.268747
2004-04-19,22.170238
2004-04-20,22.011547
2004-04-21,22.141771
2004-04-22,22.522134
2004-04-23,22.563941
2004-04-26,22.785801
2004-04-27,22.569814
2004-04-28,22.460902
2004-04-29,22.563177
2004-04-30,22.585428
2004-05-03,18.686782
2004-05-04,15.471649
2004-05-05,15.343965
2004-05-06,15.349862
2004-05-07,14.888689
2004-05-10,14.639629
2004-05-11,14.589043
2004-05-12,14.557879
2004-05-13,14.588372
2004-05-14,14.72701
2004-05-17,14.568889
2004-05-18,14.686907
2004-05-19,14.60592
2004-05-20,14.704611
2004-05-21,14.712567
2004-05-24,14.914757
2004-05-25,15.170556
2004-05-26,15.169553
2004-05-27,15.292212
2004-05-28,15.345124
2004-06-01,15.295177
2004-06-02,15.3206
2004-06-03,15.194354
2004-06-04,15.206283
2004-06-07,15.348704
2004-06-08,15.218525
2004-06-09,15.083027
2004-06-10,15.178215
2004-06-14,15.109005
2004-06-15,15.192162
2004-06-16,15.255142
2004-06-17,15.334194
2004-06-18,15.396549
2004-06-21,15.507619
2004-06-22,15.492631
2004-06-23,15.604556
2004-06-24,15.631886
2004-06-25,15.574914
2004-06-28,15.609248
2004-06-29,15.462038
2004-06-30,15.545216
2004-07-01,15.397764
2004-07-02,15.533246
2004-07-06,15.537947
2004-07-07,15.530775
2004-07-08,15.492464
2004-07-09,15.433179
2004-07-12,15.445809
2004-07-13,15.452284
2004-07-14,15.596841
2004-07-15,15.629853
2004-07-16,15.751864
2004-07-19,15.826706
2004-07-20,15.888095
2004-07-21,15.615342
2004-07-22,15.499171
2004-07-23,15.425042
2004-07-26,15.377852
2004-07-27,15.400325
2004-07-28,15.458527
2004-07-29,16.530617
2004-07-30,17.038489
2004-08-02,17.100333
2004-08-03,17.068084
2004-08-04,17.154524
2004-08-05,16.626932
2004-08-06,16.586912
2004-08-09,16.524838
2004-08-10,16.623001
2004-08-11,16.673145
2004-08-12,16.644932
2004-08-13,16.588233
2004-08-16,16.681735
2004-08-17,16.679212
2004-08-18,16.862055
2004-08-19,16.729433
2004-08-20,16.782514
2004-08-23,16.726686
2004-08-24,16.739479
2004-08-25,16.819237
2004-08-26,16.810988
2004-08-27,16.821418
2004-08-30,16.849069
2004-08-31,17.026459
2004-09-01,17.057924
2004-09-02,17.122105
2004-09-03,17.06717
2004-09-07,17.157189
2004-09-08,16.996273
2004-09-09,17.049005
2004-09-10,17.08248
2004-09-13,16.964653
2004-09-14,16.960987
2004-09-15,16.95702
