date,trailing_pe
2006-01-01,35.7584
2006-02-01,40.9824
2006-03-01,39.3696
2006-04-01,37.3147
2006-05-01,35.8828
2006-06-01,36.0511
2006-07-01,30.3267
2006-08-01,32.816
2006-09-01,35.6309
2006-10-01,41.5667
2006-11-01,40.7987
2006-12-01,39.7977
2007-01-01,42.4143
2007-02-01,37.1261
2007-03-01,33.9225
2007-04-01,34.5966
2007-05-01,35.9165
2007-06-01,34.0792
2007-07-01,34.1798
2007-08-01,28.8915
2007-09-01,31.1914
2007-10-01,34.4544
2007-11-01,29.1837
2007-12-01,27.9405
2008-01-01,24.8874
2008-02-01,27.5224
2008-03-01,28.4064
2008-04-01,30.0017
2008-05-01,29.8801
2008-06-01,29.117
2008-07-01,25.0192
2008-08-01,29.2825
2008-09-01,30.3738
2008-10-01,21.9519
2008-11-01,21.6512
2008-12-01,28.42
2009-01-01,26.7509
2009-02-01,22.1683
2009-03-01,27.9245
2009-04-01,34.9047
2009-05-01,41.9578
2009-06-01,38.6981
2009-07-01,52.9827
2009-08-01,42.5417
2009-09-01,49.058
2009-10-01,49.0551
2009-11-01,53.9507
2009-12-01,57.3758
2010-01-01,55.2172
2010-02-01,49.5605
2010-03-01,56.5601
2010-04-01,52.5986
2010-05-01,46.313
2010-06-01,42.4084
2010-07-01,45.5337
2010-08-01,46.2429
2010-09-01,44.7326
2010-10-01,41.5157
2010-11-01,41.844
2010-12-01,40.3286
2011-01-01,39.7531
2011-02-01,39.4418
2011-03-01,38.3955
2011-04-01,40.4303
2011-05-01,39.0518
2011-06-01,39.681
2011-07-01,37.292
2011-08-01,32.9932
2011-09-01,34.0084
2011-10-01,34.5206
2011-11-01,34.1833
2011-12-01,37.2673
2012-01-01,37.9942
2012-02-01,38.6041
2012-03-01,39.0736
2012-04-01,39.1491
2012-05-01,35.1651
2012-06-01,36.4852
2012-07-01,38.2131
2012-08-01,38.4895
2012-09-01,37.9826
2012-10-01,36.3092
2012-11-01,35.0119
2012-12-01,36.0678
2013-01-01,36.7111
2013-02-01,36.8669
2013-03-01,36.6466
2013-04-01,36.686
2013-05-01,36.7255
2013-06-01,36.0929
2013-07-01,35.8573
2013-08-01,34.8792
2013-09-01,37.3864
2013-10-01,37.8543
2013-11-01,36.1363
2013-12-01,35.2839
2014-01-01,35.563
2014-02-01,34.0832
2014-03-01,34.8546
2014-04-01,34.8546
2014-05-01,35.5102
2014-06-01,35.7562
2014-07-01,36.0486
2014-08-01,35.8807
2014-09-01,33.6461
2014-10-01,35.2046
2014-11-01,35.984
2014-12-01,36.1484
2015-01-01,37.7419
2015-02-01,36.9129
2015-03-01,35.4183
2015-04-01,36.4866
2015-05-01,34.6335
2015-06-01,33.8493
2015-07-01,33.8493
2015-08-01,36.0491
2015-09-01,34.0506
2015-10-01,36.5049
2015-11-01,36.5049
2015-12-01,36.2262
2016-01-01,33.2422
2016-02-01,33.559
2016-03-01,36.5225
2016-04-01,35.7325
2016-05-01,36.1432
2016-06-01,38.6432
2016-07-01,38.7528
2016-08-01,37.9279
2016-09-01,35.8134
2016-10-01,34.5249
2016-11-01,35.2907
2016-12-01,36.0452
2017-01-01,35.5024
2017-02-01,36.5305
2017-03-01,37.5639
2017-04-01,37.7064
2017-05-01,36.9344
2017-06-01,37.188
2017-07-01,37.2227
2017-08-01,37.2227
2017-09-01,38.0767
2017-10-01,37.8591
2017-11-01,38.5483
2017-12-01,37.7206
2018-01-01,36.4102
2018-02-01,34.6042
2018-03-01,36.5329
2018-04-01,35.6985
2018-05-01,36.3746
2018-06-01,36.8221
2018-07-01,38.2594
2018-08-01,38.231
2018-09-01,36.9475
2018-10-01,36.39
2018-11-01,38.2961
2018-12-01,34.9998
2019-01-01,37.6115
2019-02-01,40.1919
2019-03-01,41.0472
2019-04-01,40.6913
2019-05-01,41.348
2019-06-01,42.813
2019-07-01,42.1441
2019-08-01,43.2741
2019-09-01,43.9823
2019-10-01,42.4061
2019-11-01,43.0714
2019-12-01,41.1682
