date,trailing_pe
2003-06-11,20.668432
2003-06-12,20.761746
2003-06-13,20.63152
2003-06-16,20.987746
2003-06-17,20.852625
2003-06-18,20.903409
2003-06-19,20.605742
2003-06-20,20.566254
2003-06-23,20.498819
2003-06-24,20.721823
2003-06-25,20.395971
2003-06-26,20.490786
2003-06-27,20.354537
2003-06-30,20.386562
2003-07-01,20.544481
2003-07-02,20.718071
2003-07-03,20.552294
2003-07-07,20.76049
2003-07-08,20.757124
2003-07-09,20.422186
2003-07-10,20.379739
2003-07-11,20.472259
2003-07-14,20.439194
2003-07-15,20.475275
2003-07-16,20.298363
2003-07-17,20.14332
2003-07-18,20.355619
2003-07-21,20.178269
2003-07-22,20.306179
2003-07-23,20.220194
2003-07-24,20.077599
2003-07-25,20.294917
2003-07-28,20.162216
2003-07-29,20.069961
2003-07-30,20.160388
2003-07-31,20.114455
2003-08-01,19.939628
2003-08-04,20.096124
2003-08-05,19.818774
2003-08-06,19.885164
2003-08-07,20.05573
2003-08-08,20.189706
2003-08-11,20.192231
2003-08-12,20.350474
2003-08-13,20.117473
2003-08-14,20.177034
2003-08-15,20.188976
2003-08-18,20.214013
2003-08-19,20.135786
2003-08-20,20.104852
2003-08-21,20.116576
2003-08-22,19.944355
2003-08-25,20.106899
2003-08-26,20.141999
2003-08-27,20.172913
2003-08-28,20.287687
2003-08-29,20.317571
2003-09-02,20.541223
2003-09-03,20.561964
2003-09-04,20.673235
2003-09-05,20.477435
2003-09-08,20.49226
2003-09-09,20.257303
2003-09-10,20.284955
2003-09-11,20.365256
2003-09-12,20.362381
2003-09-15,20.331934
2003-09-16,20.408324
2003-09-17,20.508223
2003-09-18,20.687541
2003-09-19,20.611284
2003-09-22,20.411583
2003-09-23,20.549651
2003-09-24,20.357873
2003-09-25,20.367451
2003-09-26,20.287689
2003-09-29,20.359065
2003-09-30,20.204535
2003-10-01,20.595456
2003-10-02,20.635602
2003-10-03,20.720221
2003-10-06,20.821181
2003-10-07,20.923049
2003-10-08,20.839003
2003-10-09,20.877097
2003-10-10,20.808687
2003-10-13,20.919412
2003-10-14,20.998828
2003-10-15,20.927785
2003-10-16,21.624003
2003-10-17,21.509523
2003-10-20,21.574477
2003-10-21,21.555922
2003-10-22,21.380884
2003-10-23,21.463024
2003-10-24,21.385506
2003-10-27,21.221874
2003-10-28,23.08878
2003-10-29,23.137581
2003-10-30,23.13748
2003-10-31,23.210665
2003-11-03,23.290594
2003-11-04,23.198731
2003-11-05,23.115062
2003-11-06,23.299298
2003-11-07,23.326333
2003-11-10,23.243177
2003-11-11,23.264719
2003-11-12,23.445537
2003-11-13,23.021186
