date,trailing_pe
1995-02-01,14.4438
1995-03-01,14.4438
1995-04-01,14.4438
1995-05-01,15.3213
1995-06-01,15.3213
1995-07-01,15.3213
1995-08-01,15.3213
1995-09-01,16.0892
1995-10-01,16.724
1995-11-01,17.3947
1995-12-01,17.961
1996-01-01,18.7807
1996-02-01,18.7807
1996-03-01,19.5184
1996-04-01,19.5184
1996-05-01,18.5236
1996-06-01,18.5236
1996-07-01,18.5236
1996-08-01,18.1548
1996-09-01,18.1548
1996-10-01,18.1548
1996-11-01,19.1943
1996-12-01,19.7084
1997-01-01,20.2338
1997-02-01,21.6869
1997-03-01,21.0665
1997-04-01,20.3903
1997-05-01,21.1056
1997-06-01,21.7986
1997-07-01,21.7986
1997-08-01,23.9671
1997-09-01,23.9671
1997-10-01,22.4693
1997-11-01,23.4604
1997-12-01,23.8553
1998-01-01,24.4701
1998-02-01,25.029
1998-03-01,26.9627
1998-04-01,26.9627
1998-05-01,27.9239
1998-06-01,27.9239
1998-07-01,27.9239
1998-08-01,29.3144
1998-09-01,29.3144
1998-10-01,29.3144
1998-11-01,27.3129
1998-12-01,28.5499
1999-01-01,29.4038
1999-02-01,29.4038
1999-03-01,29.4038
1999-04-01,29.5335
1999-05-01,31.2996
1999-06-01,29.2429
1999-07-01,27.5886
1999-08-01,27.0968
1999-09-01,27.0968
1999-10-01,27.0968
1999-11-01,27.0968
1999-12-01,26.7391
2000-01-01,26.1355
2000-02-01,25.3978
2000-03-01,25.3978
2000-04-01,23.3411
2000-05-01,26.4261
2000-06-01,26.4261
2000-07-01,27.0297
2000-08-01,27.0297
2000-09-01,27.0297
2000-10-01,27.0018
2000-11-01,27.678
2000-12-01,28.1866
2001-01-01,29.377
2001-02-01,27.678
2001-03-01,26.9962
2001-04-01,25.6065
2001-05-01,25.6065
2001-06-01,25.6065
2001-07-01,25.4649
2001-08-01,25.4649
2001-09-01,25.0401
2001-10-01,23.6094
2001-11-01,23.6094
2001-12-01,23.6094
2002-01-01,23.6094
2002-02-01,24.1459
2002-03-01,24.1459
2002-04-01,23.6485
2002-05-01,22.3724
2002-06-01,21.5974
2002-07-01,20.1891
2002-08-01,17.6629
2002-09-01,18.4426
2002-10-01,18.4426
2002-11-01,18.4426
